ID,Duration,% Completion,Treatment
157,0.00373842592592593,1,high
155,0.00359953703703704,1,high
147,0.00127314814814815,1,high
149,0.00287037037037037,1,high
151,0.00409722222222222,1,high
150,0.00168981481481481,1,high
131,0.0111226851851852,0.25,high
156,0.00331018518518519,1,high
143,0.00306712962962963,1,high
109,2.5462962962963e-4,1,high
141,0.00284722222222222,1,high
124,3.47222222222222e-5,0.92,high
114,7.8703703703703e-4,1,high
142,0.00372685185185185,1,high
148,0.00324074074074074,1,high
144,0.00228009259259259,1,high
110,0.00123842592592593,1,high
112,0.00163194444444444,1,high
93,5.5555555555555e-4,1,high
98,0.00104166666666667,1,high
92,0.00157407407407407,1,high
116,9.25925925925926e-5,1,high
103,0.00204861111111111,1,high
97,0.00157407407407407,1,high
136,0.0043287037037037,1,high
77,4.0509259259259e-4,0.5,high
99,0.00143518518518519,1,high
90,7.7546296296296e-4,0.92,high
91,6.5972222222222e-4,0.75,high
85,5.5555555555555e-4,1,high
126,0.00237268518518519,1,high
94,9.1435185185185e-4,1,high
79,0.0012962962962963,1,high
113,0.00328703703703704,1,high
67,4.8611111111111e-4,1,high
123,4.7453703703703e-4,1,high
84,0.0019212962962963,1,high
108,0.00394675925925926,1,high
130,0.00510416666666667,1,high
56,9.0277777777777e-4,1,high
57,9.375e-4,1,high
158,0.00456018518518519,0.92,high
71,0.00168981481481481,1,high
88,0.00761574074074074,1,high
38,3.0092592592592e-4,1,high
39,7.2916666666666e-4,1,high
111,0.0025,1,high
52,0.00216435185185185,1,high
42,0.00140046296296296,1,high
60,0.00277777777777778,1,high
66,0.00196759259259259,1,high
34,0.00145833333333333,1,high
45,0.00204861111111111,1,high
22,2.662037037037e-4,0.83,high
31,0.00116898148148148,1,high
19,3.7037037037037e-4,0.92,high
32,0.00703703703703704,1,high
41,8.7962962962963e-4,1,high
53,0.00482638888888889,1,high
28,0.00203703703703704,1,high
27,0.00234953703703704,1,high
37,0.00340277777777778,1,high
30,0.00483796296296296,1,high
14,0.0015162037037037,1,high
23,0.00266203703703704,1,high
163,0.00549768518518519,1,high
12,0.00174768518518519,1,high
9,0.00178240740740741,1,high
13,0.00290509259259259,1,high
24,0.00447916666666667,1,high
4,3.9351851851851e-4,0.92,high
3,5.6712962962963e-4,1,high
139,0,0,low
160,0.00146990740740741,0.33,low
159,0.0022337962962963,1,low
145,0.00150462962962963,1,low
153,0.00175925925925926,0.83,low
128,0.00141203703703704,1,low
129,0.00116898148148148,1,low
133,0.00284722222222222,0.92,low
132,0.00153935185185185,1,low
135,0.00145833333333333,1,low
121,0.00137731481481481,1,low
134,0.00248842592592593,1,low
154,0.0021412037037037,1,low
107,5.324074074074e-4,1,low
105,4.0509259259259e-4,1,low
106,4.1666666666666e-4,0.67,low
152,0.005,0.92,low
118,0.00155092592592593,1,low
101,4.1666666666666e-4,1,low
138,0.00190972222222222,1,low
139,0.00710648148148148,1,low
102,0.00159722222222222,1,low
119,0.00231481481481482,1,low
164,6.94444444444444e-5,0.67,low
117,0.00222222222222222,1,low
96,0.00148148148148148,1,low
115,0.00238425925925926,1,low
95,0.00111111111111111,1,low
73,6.9444444444444e-4,1,low
120,0.00344907407407407,0.92,low
122,0.00335648148148148,0.92,low
137,0.00480324074074074,1,low
83,0.0015162037037037,1,low
78,0.00109953703703704,1,low
146,7.4074074074074e-4,0.5,low
69,4.9768518518518e-4,0.67,low
81,0.00127314814814815,0.42,low
82,0.00212962962962963,0.92,low
72,0.00196759259259259,1,low
87,0.00303240740740741,1,low
89,3.9351851851851e-4,0.42,low
68,0.00158564814814815,1,low
76,1.1574074074074e-4,1,low
54,0.00111111111111111,1,low
59,0.00133101851851852,1,low
49,6.1342592592592e-4,1,low
40,3.9351851851851e-4,1,low
58,0.00185185185185185,1,low
51,0.00115740740740741,1,low
50,0.0034837962962963,1,low
70,0.00335648148148148,1,low
65,0.00273148148148148,1,low
46,0.0016087962962963,0.92,low
36,9.7222222222222e-4,1,low
48,0.00189814814814815,1,low
33,2.5462962962963e-4,1,low
29,0.00148148148148148,1,low
61,0.00206018518518519,1,low
55,0.00350694444444444,1,low
18,2.199074074074e-4,0.67,low
43,0.00273148148148148,1,low
86,0.00662037037037037,1,low
20,8.449074074074e-4,1,low
25,0.00155092592592593,1,low
127,9.9537037037037e-4,1,low
62,0.00798611111111111,1,low
16,0.00136574074074074,1,low
17,0.00150462962962963,1,low
15,0.00143518518518519,1,low
21,0.00298611111111111,1,low
26,0.0034837962962963,1,low
10,4.6296296296296e-4,1,low
11,0.00204861111111111,1,low
8,8.7962962962963e-4,1,low
7,0.00224537037037037,1,low
6,0.00342592592592593,1,low
5,0.00181712962962963,1,low
2,0.00109953703703704,1,low
