Age,Sex,Ethnicity simplified,Country of residence,Nationality,Employment status,ID
30,Male,White,Canada,Canada,Full-Time,1
27,Male,Mixed,Canada,Mexico,Part-Time,2
35,Female,NA,United Kingdom,Korea,NA,3
28,Male,White,Germany,United Kingdom,Full-Time,5
33,Female,Mixed,France,France,"Not in paid work (e.g. homemaker', 'retired or disabled)",6
25,Female,White,Germany,Italy,Full-Time,4
40,Male,White,France,France,Full-Time,7
27,Male,Black,France,Nigeria,Full-Time,24
60,Male,White,Canada,Canada,Full-Time,13
32,Female,White,United Kingdom,Poland,Part-Time,11
36,Male,White,Germany,Germany,Part-Time,8
32,Female,White,United Kingdom,United Kingdom,Part-Time,9
46,Male,White,Israel,Israel,Full-Time,23
31,Male,White,United Kingdom,United Kingdom,Full-Time,10
30,Male,White,France,Spain,Full-Time,12
51,Male,White,United Kingdom,United Kingdom,Full-Time,21
54,Female,Black,United Kingdom,United Kingdom,Other,26
49,Male,White,United Kingdom,United Kingdom,Full-Time,15
58,Female,Asian,Canada,United States,NA,14
26,Female,White,United Kingdom,United Kingdom,Full-Time,30
54,Male,White,United Kingdom,United Kingdom,NA,62
63,Male,White,United Kingdom,United Kingdom,"Not in paid work (e.g. homemaker', 'retired or disabled)",17
69,Female,White,United Kingdom,United Kingdom,Other,37
27,Female,White,United Kingdom,Ireland,NA,16
59,Male,White,United Kingdom,United Kingdom,NA,27
54,Male,White,United Kingdom,United Kingdom,Part-Time,28
36,Male,White,Germany,Germany,NA,127
67,Male,White,Israel,United States,Unemployed (and job seeking),53
60,Male,Asian,United Kingdom,United Kingdom,NA,86
38,Female,White,United Kingdom,United Kingdom,NA,20
26,Female,White,Germany,United States,Part-Time,18
61,Female,White,United Kingdom,United Kingdom,Other,25
22,Male,Asian,United Kingdom,United Kingdom,Full-Time,41
38,Male,White,Israel,Israel,Full-Time,55
30,Female,White,Canada,Canada,Part-Time,32
62,Female,White,United Kingdom,United Kingdom,Part-Time,43
64,Female,White,United Kingdom,United Kingdom,Part-Time,31
