ID,Duration,% Completion,Treatment
172,0.00210648148148148,1,high
168,0.00387731481481481,1,high
169,0.00216435185185185,1,high
170,0.00399305555555556,1,high
165,0.00166666666666667,0.92,high
160,0.00467592592592593,1,high
162,0.00363425925925926,1,high
154,6.3657407407407e-4,0.42,high
185,3.47222222222222e-5,0.08,high
139,6.0185185185185e-4,0.08,high
156,0.0223148148148148,1,high
131,0.00121527777777778,1,high
146,0.00171296296296296,1,high
150,0.00412037037037037,1,high
136,0.00123842592592593,1,high
130,0.00188657407407407,1,high
182,5.78703703703704e-5,0.17,high
147,0.00484953703703704,1,high
123,0.00181712962962963,1,high
125,0,1,high
141,0.00390046296296296,1,high
122,0.00252314814814815,1,high
143,0.00564814814814815,1,high
181,4.1666666666666e-4,0.25,high
138,0.00375,1,high
109,0.00128472222222222,1,high
117,0.0024537037037037,1,high
110,0.00222222222222222,1,high
132,0.00509259259259259,1,high
87,2.662037037037e-4,0.5,high
100,0.00209490740740741,1,high
180,3.47222222222222e-5,0.08,high
89,0.00138888888888889,0.92,high
94,0.0015625,1,high
91,0.001875,1,high
68,3.5879629629629e-4,1,high
90,0.00225694444444444,1,high
120,0.00403935185185185,1,high
134,0.00552083333333333,1,high
98,0.00243055555555556,1,high
144,0.00435185185185185,1,high
104,0.00297453703703704,1,high
85,0.00165509259259259,1,high
93,0.00256944444444444,0.92,high
119,0.00560185185185185,0.75,high
102,0.00332175925925926,1,high
88,0.00232638888888889,1,high
81,0.00247685185185185,1,high
77,0.00127314814814815,1,high
80,4.62962962962963e-5,0.08,high
73,0.00155092592592593,1,high
66,0.0021875,0.92,high
56,1.8518518518518e-4,0.08,high
75,0.00236111111111111,0.92,high
60,0.00134259259259259,1,high
187,0,0,high
45,2.199074074074e-4,0.08,high
101,0.00496527777777778,1,high
78,0.0037037037037037,1,high
43,4.1666666666666e-4,0.92,high
54,0.003125,1,high
79,0.00479166666666667,1,high
53,0.00283564814814815,1,high
38,0.00190972222222222,1,high
39,0.00238425925925926,1,high
44,0.00321759259259259,1,high
33,0.00100694444444444,1,high
52,0.00469907407407407,0.92,high
37,0.00414351851851852,1,high
30,7.9861111111111e-4,0.33,high
29,0.00115740740740741,1,high
35,0.00229166666666667,1,high
31,0.00581018518518519,1,high
26,0.0028587962962963,0.92,high
17,8.912037037037e-4,1,high
174,2.31481481481481e-5,0.08,high
24,0.00201388888888889,1,high
22,0.0012037037037037,1,high
25,0.0040625,1,high
8,6.9444444444444e-4,0.92,high
21,0.00311342592592593,1,high
13,0.00290509259259259,1,high
14,0.00168981481481481,1,high
6,8.1018518518518e-4,1,high
11,0.00184027777777778,1,high
10,0.00201388888888889,1,high
3,0.00195601851851852,1,high
173,0.050474537037037,1,high
1,0.00248842592592593,1,high
171,0.0016087962962963,1,low
167,0.00195601851851852,1,low
166,0.00210648148148148,1,low
164,0.00310185185185185,1,low
186,0.0113310185185185,0.5,low
159,4.62962962962963e-5,0.25,low
157,9.7222222222222e-4,1,low
155,0.00136574074074074,1,low
148,7.2916666666666e-4,1,low
158,0.0142708333333333,1,low
151,6.94444444444444e-5,0.92,low
118,2.8935185185185e-4,1,low
140,0.00215277777777778,1,low
142,0.00300925925925926,1,low
121,9.4907407407407e-4,1,low
127,0.00136574074074074,1,low
124,0.00547453703703704,1,low
115,5.78703703703704e-5,0.92,low
135,0.0030787037037037,1,low
106,4.2824074074074e-4,0.5,low
149,0.00591435185185185,1,low
128,0.00260416666666667,1,low
137,0.00591435185185185,1,low
108,0.0015625,1,low
145,0.00313657407407407,1,low
153,0.00105324074074074,1,low
129,0.00335648148148148,1,low
133,0.00240740740740741,1,low
107,0.00173611111111111,1,low
99,0.0015625,1,low
84,3.5879629629629e-4,1,low
103,4.6296296296296e-4,0.92,low
126,0.00366898148148148,1,low
114,9.9537037037037e-4,1,low
105,0.00126157407407407,1,low
113,0.00350694444444444,1,low
97,0.0027662037037037,1,low
86,0.00180555555555556,0.17,low
82,0.00184027777777778,1,low
83,0.0019212962962963,1,low
67,6.5972222222222e-4,1,low
96,0.00304398148148148,1,low
95,0.00337962962962963,1,low
71,0.00127314814814815,1,low
92,0.00306712962962963,1,low
64,7.8703703703703e-4,1,low
62,0.00118055555555556,1,low
116,0.00478009259259259,1,low
112,0.00540509259259259,1,low
65,0.00135416666666667,1,low
76,0.00302083333333333,1,low
49,7.0601851851851e-4,1,low
69,0.00384259259259259,1,low
74,0.00606481481481481,1,low
50,8.1018518518518e-4,0.25,low
46,0.00209490740740741,1,low
152,0.00344907407407407,1,low
70,0.00341435185185185,1,low
58,0.00256944444444444,1,low
40,8.1018518518518e-4,1,low
42,0.00170138888888889,1,low
47,0.00273148148148148,1,low
41,0.00204861111111111,1,low
61,0.00243055555555556,1,low
34,8.2175925925925e-4,1,low
55,0.00353009259259259,1,low
57,4.62962962962963e-5,1,low
178,2.0833333333333e-4,0.33,low
28,0.00180555555555556,1,low
32,0.00278935185185185,1,low
175,3.47222222222222e-5,0.08,low
20,0.00170138888888889,1,low
23,8.6805555555555e-4,1,low
176,0.00145833333333333,0.92,low
187,0,0,low
15,0.0025,1,low
16,0.00206018518518519,1,low
9,0.00181712962962963,1,low
12,0.00143518518518519,1,low
5,8.6805555555555e-4,1,low
4,0.00146990740740741,0.75,low
2,0.00136574074074074,1,low
7,0.00450231481481481,1,low
