Age,Sex,Ethnicity simplified,Country of residence,Nationality,Employment status,ID
31,Male,Asian,United Kingdom,United Kingdom,Full-Time,1
62,Female,White,United Kingdom,United Kingdom,Part-Time,7
41,Female,White,United Kingdom,United Kingdom,Part-Time,2
25,Female,White,United Kingdom,Lithuania,Part-Time,3
33,Male,White,United States,United States,NA,10
24,Male,White,United Kingdom,United Kingdom,Full-Time,4
22,Female,White,Israel,Israel,Part-Time,5
24,Female,White,Germany,Italy,"Not in paid work (e.g. homemaker', 'retired or disabled)",11
34,Female,White,United Kingdom,United Kingdom,Full-Time,6
30,Male,White,Israel,Israel,NA,14
25,Female,White,United States,United States,Full-Time,9
40,Male,White,United Kingdom,United Kingdom,Full-Time,12
25,Female,White,United Kingdom,United Kingdom,Full-Time,13
46,Male,White,United Kingdom,Portugal,Full-Time,16
55,Male,White,United Kingdom,Portugal,Full-Time,21
46,Male,White,United Kingdom,United Kingdom,Full-Time,15
27,Female,White,United States,United States,Due to start a new job within the next month,8
22,Male,White,United Kingdom,United Kingdom,Full-Time,25
NA,NA,NA,NA,NA,NA,27
51,Male,White,United Kingdom,United Kingdom,NA,22
41,Female,White,United Kingdom,United Kingdom,Part-Time,23
53,Female,White,United Kingdom,United Kingdom,Full-Time,24
36,Male,White,Canada,Canada,Full-Time,20
35,Female,White,United Kingdom,United Kingdom,Full-Time,32
43,Male,White,United Kingdom,United Kingdom,Full-Time,26
21,Male,Asian,France,Vietnam,NA,17
31,Male,Asian,United Kingdom,Malaysia,Full-Time,143
23,Female,White,United Kingdom,United Kingdom,Part-Time,31
22,Female,Asian,United Kingdom,Malaysia,Full-Time,28
52,Female,White,United Kingdom,United Kingdom,Full-Time,30
NA,NA,NA,NA,NA,NA,18
NA,NA,NA,NA,NA,NA,19
23,Female,White,United Kingdom,United Kingdom,Other,49
69,Male,White,United Kingdom,United Kingdom,"Not in paid work (e.g. homemaker', 'retired or disabled)",35
43,Female,White,United Kingdom,United Kingdom,NA,29
46,Male,White,United Kingdom,United Kingdom,Part-Time,57
38,Female,White,United Kingdom,United Kingdom,Part-Time,37
22,Male,White,United Kingdom,United Kingdom,Full-Time,62
22,Male,White,France,France,Full-Time,52
55,Male,White,Germany,Germany,Full-Time,55
27,Male,White,Germany,Germany,Other,34
34,Male,White,United Kingdom,United Kingdom,Full-Time,33
28,Male,NA,United Kingdom,United Kingdom,NA,44
26,Female,Black,United Kingdom,United Kingdom,NA,61
40,Male,White,United States,United States,NA,39
36,Male,Asian,United Kingdom,United Kingdom,NA,47
32,Female,White,United Kingdom,United Kingdom,Full-Time,41
28,Male,White,United States,United States,NA,38
34,Female,Black,France,Nigeria,Full-Time,129
42,Male,White,United Kingdom,United Kingdom,NA,79
NA,NA,NA,NA,NA,NA,36
40,Male,White,Canada,Canada,NA,53
63,Male,White,United Kingdom,United Kingdom,Full-Time,42
26,Female,White,United Kingdom,United Kingdom,Full-Time,40
29,Female,White,United Kingdom,United Kingdom,Full-Time,70
