ID,Duration,% Completion,Treatment
1,0.00269675925925926,1,low
2,0.00299768518518518,1,high
3,0.00164351851851852,1,low
7,0.00244212962962963,1,low
5,0.0016087962962963,1,high
9,0.00111111111111111,1,low
4,4.0509259259259e-4,0.92,low
14,0.00298611111111111,1,high
34,0.00450231481481481,1,high
11,0.00236111111111111,1,low
15,0.00288194444444444,1,high
13,0.00233796296296296,1,low
8,1.9675925925925e-4,0.5,low
10,4.9768518518518e-4,1,high
22,0.00622685185185185,1,low
12,0.00105324074074074,1,high
16,0.0015162037037037,1,high
17,2.31481481481481e-5,1,low
20,0.00243055555555556,1,high
18,0.00125,1,high
23,0.00196759259259259,1,low
24,5.78703703703704e-5,0.92,high
19,0.00122685185185185,1,low
46,0.00333333333333333,1,low
42,0.00416666666666667,1,high
47,0.00311342592592593,1,low
35,0.00186342592592593,1,low
33,0.00221064814814815,1,high
21,5.0925925925925e-4,0.67,low
31,0.00210648148148148,1,high
44,0.00175925925925926,1,high
40,0.00114583333333333,1,low
29,9.2592592592592e-4,1,high
56,0.0034375,1,high
25,2.662037037037e-4,0.75,low
30,0.0107407407407407,1,low
62,0.00796296296296296,1,low
169,1.3888888888888e-4,0.33,high
37,0.00138888888888889,1,high
27,6.5972222222222e-4,1,low
43,0.0034837962962963,1,high
45,0.00101851851851852,1,low
170,4.62962962962963e-5,0.08,high
38,0.00140046296296296,1,low
32,9.1435185185185e-4,0.58,high
176,0.0041087962962963,0.33,high
28,2.5462962962963e-4,1,low
52,0.00189814814814815,1,low
39,4.8611111111111e-4,1,low
41,0.00311342592592593,0.17,high
59,0.00152777777777778,0.58,low
48,4.8611111111111e-4,1,low
51,0.00115740740740741,1,low
63,0.00259259259259259,1,high
49,0.00140046296296296,1,high
53,1.9675925925925e-4,0.58,low
54,4.5138888888888e-4,0.92,low
76,0.0031712962962963,1,high
50,5.2083333333333e-4,1,high
55,4.6296296296296e-4,0.83,low
64,0.00224537037037037,1,low
65,0.00400462962962963,1,high
61,9.8379629629629e-4,0.92,high
67,3.47222222222222e-5,0.92,low
60,6.4814814814814e-4,1,high
58,0.00290509259259259,0.92,low
72,0.0021875,1,high
57,9.25925925925926e-5,0.25,high
96,0.00387731481481481,1,low
91,0.00344907407407407,1,high
118,0.00527777777777778,1,low
95,0.00340277777777778,1,high
71,0.00113425925925926,1,low
74,0.00159722222222222,0.92,high
79,0.00179398148148148,1,high
84,0.00266203703703704,1,low
66,0.00113425925925926,1,high
97,0.00369212962962963,0.92,high
90,0.00289351851851852,1,low
69,0.00113425925925926,1,high
68,5.6712962962963e-4,1,low
75,0.00126157407407407,1,low
93,0.0049537037037037,0.92,high
70,7.6388888888888e-4,1,high
77,4.2824074074074e-4,1,low
87,0.00199074074074074,1,low
73,4.9768518518518e-4,1,high
92,0.00189814814814815,1,low
78,3.0092592592592e-4,0.75,high
83,0.00112268518518519,1,high
129,0.00503472222222222,1,low
81,4.9768518518518e-4,1,low
85,0.00107638888888889,1,high
80,2.5462962962963e-4,0.83,low
112,0.00231481481481482,1,low
82,6.94444444444444e-5,0.17,high
110,0.00258101851851852,1,low
139,0.00421296296296296,1,high
114,0.00284722222222222,1,high
88,2.662037037037e-4,0.5,low
86,6.0185185185185e-4,1,high
89,1.1574074074074e-4,0.33,high
108,0.00150462962962963,1,high
99,7.5231481481481e-4,1,low
155,0.00553240740740741,1,low
105,0.00114583333333333,1,high
101,5.78703703703704e-5,1,low
100,0.00167824074074074,1,high
119,0.00190972222222222,0.92,high
123,0.00210648148148148,1,low
130,0.00225694444444444,1,high
138,3.47222222222222e-5,0.5,low
126,0.00190972222222222,1,low
102,6.1342592592592e-4,1,low
115,0.00138888888888889,1,high
117,0.00164351851851852,1,low
153,0.00428240740740741,1,high
106,7.5231481481481e-4,1,high
104,9.0277777777777e-4,1,high
147,0.00547453703703704,1,high
111,2.31481481481481e-5,1,low
116,0.00231481481481482,1,high
133,4.62962962962963e-5,0.92,high
121,7.8703703703703e-4,1,high
143,0.00289351851851852,1,low
134,0.00243055555555556,1,low
127,0.00174768518518519,1,high
137,0.0025,1,low
128,0.0016087962962963,1,low
131,0.00171296296296296,1,low
136,0.00109953703703704,0.92,low
141,0.00233796296296296,1,high
120,3.7037037037037e-4,0.08,high
151,0.00256944444444444,0.92,high
142,0.00475694444444444,1,high
107,3.2407407407407e-4,1,low
113,3.0092592592592e-4,1,high
150,0.00210648148148148,1,high
149,0.00277777777777778,1,low
135,0.00163194444444444,1,low
146,0.00188657407407407,1,low
132,0.00145833333333333,1,high
109,1.1574074074074e-4,0.67,low
122,4.9768518518518e-4,1,high
144,0.00200231481481481,1,low
124,2.662037037037e-4,0.25,high
154,0.00391203703703704,1,low
140,9.4907407407407e-4,1,low
145,0.00159722222222222,1,low
148,0.00122685185185185,1,low
152,9.25925925925926e-5,0.17,low
156,5.0925925925925e-4,1,high
157,0.00109953703703704,1,high
158,8.2175925925925e-4,0.67,high
159,0.00331018518518519,1,low
160,0.00259259259259259,1,high
161,0.0033912037037037,1,low
164,0.00488425925925926,1,low
162,0.00138888888888889,1,high
163,0.0021875,1,low
165,1.9675925925925e-4,1,low
166,0.001875,1,high
167,3.8194444444444e-4,1,high
