ID,Duration,% Completion,Treatment
2,0.001875,1,low
4,0.00186342592592593,1,high
5,0.00130787037037037,1,high
3,3.4722222222222e-4,0.58,high
9,0.00326388888888889,1,low
10,0.00244212962962963,1,high
12,0.00206018518518519,1,low
7,0.00163194444444444,1,low
14,0.00835648148148148,1,high
11,0.00171296296296296,1,high
17,0.00248842592592593,1,low
8,6.7129629629629e-4,0.08,high
146,4.2824074074074e-4,1,low
6,3.9351851851851e-4,0.42,low
24,0.00518518518518519,0.92,high
15,0.00181712962962963,1,high
99,0.010775462962963,1,high
13,0.00142361111111111,1,high
185,1.8518518518518e-4,0.17,low
28,2.5462962962963e-4,1,low
18,0.0018287037037037,1,high
20,0.00209490740740741,1,low
49,0.00643518518518519,1,low
21,0.0012037037037037,0.92,high
184,8.10185185185185e-5,0.08,low
19,2.0833333333333e-4,0.5,low
26,0.00403935185185185,1,high
22,0.00145833333333333,1,high
27,0.00231481481481482,0.92,low
182,1.0416666666666e-4,0.5,high
183,2.7777777777777e-4,0.25,low
48,0.00291666666666667,1,high
34,0.00282407407407407,1,high
25,1.0416666666666e-4,0.08,low
31,0.00202546296296296,0.92,low
83,0.00313657407407407,1,high
41,7.9861111111111e-4,0.92,high
32,0.00158564814814815,1,high
23,8.449074074074e-4,1,low
30,0.00140046296296296,0.75,low
29,9.0277777777777e-4,1,high
37,6.5972222222222e-4,1,high
179,0.00400462962962963,1,low
35,0.00164351851851852,1,high
36,0.00126157407407407,1,low
33,0.00111111111111111,1,high
40,0.00173611111111111,1,low
38,0.00152777777777778,1,high
50,0.00232638888888889,1,low
51,0.00380787037037037,1,low
47,0.00292824074074074,1,high
58,5.78703703703704e-5,1,low
44,0.00149305555555556,1,low
70,0.00388888888888889,1,high
39,3.3564814814814e-4,0.75,low
72,0.00409722222222222,1,high
62,0.00122685185185185,1,high
43,0.00113425925925926,1,high
65,2.4305555555555e-4,0.92,low
56,0.00341435185185185,1,high
42,7.1759259259259e-4,1,low
88,0.00461805555555556,1,low
46,3.2407407407407e-4,0.25,high
55,9.1435185185185e-4,1,low
52,0.00107638888888889,1,low
45,6.0185185185185e-4,0.17,low
54,2.31481481481481e-5,0.92,high
68,0.00202546296296296,1,low
64,0.00273148148148148,1,high
57,0.00105324074074074,0.92,low
74,0.00125,1,high
61,0.00114583333333333,0.92,high
59,4.62962962962963e-5,0.92,low
69,0.00146990740740741,1,low
53,4.3981481481481e-4,0.83,high
60,0.00171296296296296,0.33,high
79,0.00165509259259259,0.33,low
63,0.00100694444444444,0.92,high
76,0.0024537037037037,1,low
153,0.00209490740740741,1,high
107,0.00378472222222222,1,high
78,1.8518518518518e-4,0.58,low
82,0.00268518518518518,1,high
109,0.0040625,1,low
75,0.00141203703703704,1,low
67,0.00141203703703704,0.58,high
110,0.00320601851851852,1,high
80,0.00153935185185185,1,high
77,7.1759259259259e-4,1,low
73,4.1666666666666e-4,0.42,low
92,0.0024537037037037,1,low
120,0.00424768518518519,1,high
97,0.00268518518518518,1,low
96,0.0047337962962963,1,low
89,0.00189814814814815,1,high
91,0.00199074074074074,1,high
123,0.00392361111111111,1,high
116,0.00296296296296296,1,high
132,0.00456018518518519,1,high
115,0.00335648148148148,1,low
81,3.5879629629629e-4,0.75,low
100,0.00246527777777778,1,high
106,0.00209490740740741,1,low
86,6.25e-4,0.92,high
94,0.00137731481481481,1,low
87,6.25e-4,0.67,low
176,4.8611111111111e-4,1,high
103,0.00165509259259259,1,low
114,0.00237268518518519,1,high
102,0.00199074074074074,0.42,high
175,1.7361111111111e-4,0.17,high
84,3.5879629629629e-4,0.42,high
108,0.001875,1,low
174,3.2407407407407e-4,0.5,low
85,3.47222222222222e-5,0.08,low
177,1.2731481481481e-4,0.33,low
93,4.7453703703703e-4,0.17,high
101,6.25e-4,1,high
98,8.7962962962963e-4,0.92,high
104,0.00105324074074074,1,low
113,0.00166666666666667,1,high
128,0.00246527777777778,1,low
143,0.00611111111111111,1,high
121,0.00233796296296296,1,low
126,2.8935185185185e-4,1,high
105,8.10185185185185e-5,0.08,high
119,0.0016087962962963,1,low
131,0.0024537037037037,1,high
127,0.00193287037037037,1,high
142,0.00280092592592593,1,high
172,5.78703703703704e-5,0.92,low
134,0.00201388888888889,1,low
129,0.00144675925925926,1,low
135,0.00263888888888889,1,low
112,7.1759259259259e-4,1,high
154,0.00270833333333333,1,high
137,0.00149305555555556,0.92,low
122,9.2592592592592e-4,1,high
125,0.00114583333333333,1,low
145,0.00328703703703704,1,high
147,0,0,high
130,0.00127314814814815,1,low
133,0.00100694444444444,1,high
138,0.00193287037037037,1,high
124,5.5555555555555e-4,0.58,high
147,0.00422453703703704,1,high
117,5.6712962962963e-4,1,high
148,0.0043287037037037,1,high
141,0.0030787037037037,1,high
152,0.00321759259259259,1,low
151,0.00502314814814815,0.92,low
140,0.00146990740740741,1,high
150,0.00490740740740741,1,low
139,0.00123842592592593,1,high
155,0,0.92,low
136,1.3888888888888e-4,0.67,low
144,4.5138888888888e-4,1,high
149,3.5879629629629e-4,1,low
171,1.1574074074074e-4,0.08,high
156,6.7129629629629e-4,1,high
157,4.2824074074074e-4,1,low
158,0.00185185185185185,1,low
161,0.00435185185185185,1,low
159,0.00219907407407407,1,low
160,0.00184027777777778,1,high
162,0.00310185185185185,1,high
164,0.00157407407407407,1,low
163,0.00140046296296296,1,low
169,2.31481481481481e-5,0.17,high
166,0.00263888888888889,1,low
168,0.00141203703703704,1,high
165,2.7777777777777e-4,0.92,high
167,0.00189814814814815,1,low
