uuid,linkname,date_visit,atypical,duration,completion
,Low Fluency/Low Quality - PerkSouq,05feb2023,0,51,1
,High Fluency/High Quality - PerkSouq,26jan2023,0,0,0
,Low Fluency/High Quality - PerkSouq,06feb2023,1,0,0
,Low Fluency/High Quality - PerkSouq,24jan2023,0,33,1
,High Fluency/High Quality - PerkSouq,28jan2023,0,24,.079999998
,Low Fluency/Low Quality - PerkSouq,08feb2023,1,0,0
,Low Fluency/High Quality - PerkSouq,23jan2023,0,0,0
,High Fluency/Low Quality - PerkSouq,16jan2023,0,295,.079999998
,Low Fluency/Low Quality - PerkSouq,07feb2023,0,29,.079999998
,Low Fluency/Low Quality - PerkSouq,19feb2023,0,64,1
,High Fluency/Low Quality - PerkSouq,09feb2023,1,0,0
,Low Fluency/Low Quality - PerkSouq,02feb2023,1,0,0
,Low Fluency/High Quality - PerkSouq,27jan2023,1,0,0
,Low Fluency/Low Quality - PerkSouq,07feb2023,0,35,.92000002
,Low Fluency/High Quality - PerkSouq,14feb2023,1,0,0
,Low Fluency/High Quality - PerkSouq,23jan2023,0,91,1
,Low Fluency/Low Quality - PerkSouq,17feb2023,0,24,.079999998
,High Fluency/Low Quality - PerkSouq,10feb2023,1,0,0
,High Fluency/Low Quality - PerkSouq,06feb2023,1,0,0
,Low Fluency/Low Quality - PerkSouq,09feb2023,1,60,1
,Low Fluency/High Quality - PerkSouq,29jan2023,0,0,0
,Low Fluency/High Quality - PerkSouq,24jan2023,0,83,1
,High Fluency/Low Quality - PerkSouq,24jan2023,0,31,.079999998
,Low Fluency/High Quality - PerkSouq,16feb2023,0,68,1
,High Fluency/High Quality - PerkSouq,03feb2023,1,0,0
,Low Fluency/High Quality - PerkSouq,31jan2023,0,66,.75
,High Fluency/Low Quality - PerkSouq,30jan2023,1,0,0
,Low Fluency/Low Quality - PerkSouq,05feb2023,0,56,1
,Low Fluency/High Quality - PerkSouq,11feb2023,0,109,1
,High Fluency/Low Quality - PerkSouq,16jan2023,0,458,.079999998
,High Fluency/Low Quality - PerkSouq,16feb2023,1,0,0
,Low Fluency/High Quality - PerkSouq,30jan2023,0,5,.079999998
,High Fluency/Low Quality - PerkSouq,10feb2023,0,2,.079999998
,Low Fluency/Low Quality - PerkSouq,16jan2023,0,611,.079999998
,High Fluency/High Quality - PerkSouq,14feb2023,0,29,.079999998
,Low Fluency/Low Quality - PerkSouq,17feb2023,0,30,1
,High Fluency/High Quality - PerkSouq,08feb2023,1,0,0
,Low Fluency/Low Quality - PerkSouq,16jan2023,0,0,0
,High Fluency/High Quality - PerkSouq,08feb2023,1,0,0
,High Fluency/Low Quality - PerkSouq,14feb2023,0,87,1
,Low Fluency/Low Quality - PerkSouq,16feb2023,0,10,.079999998
,Low Fluency/High Quality - PerkSouq,02feb2023,0,19,.17
,Low Fluency/High Quality - PerkSouq,13feb2023,0,9,.67000002
,High Fluency/Low Quality - PerkSouq,16feb2023,1,0,0
,High Fluency/Low Quality - PerkSouq,23jan2023,0,0,0
,Low Fluency/High Quality - PerkSouq,27jan2023,1,0,0
,High Fluency/High Quality - PerkSouq,07feb2023,0,0,0
,Low Fluency/Low Quality - PerkSouq,09feb2023,1,53,1
,Low Fluency/Low Quality - PerkSouq,16jan2023,0,445,.079999998
,Low Fluency/Low Quality - PerkSouq,14feb2023,1,0,0
,Low Fluency/Low Quality - PerkSouq,08feb2023,0,1,.079999998
,High Fluency/Low Quality - PerkSouq,11feb2023,0,67,.92000002
0000e71a6b32cbae622d8d965d813ef6@prksq.com,High Fluency/High Quality - PerkSouq,18jan2023,0,4,.25
00032c9c53a427b084cf46284e80a421@prksq.com,Low Fluency/High Quality - PerkSouq,18jan2023,0,2,.75
000fd0e944f24657fd14bdccf5f0e2ce@prksq.com,High Fluency/High Quality - PerkSouq,16jan2023,1,23,.079999998
00109b9795e3bc5bc8aa26a4016e001b@prksq.com,Low Fluency/Low Quality - PerkSouq,19jan2023,0,133,.41999999
0022c87e255d571d6a85108d89827e0f@prksq.com,Low Fluency/High Quality - PerkSouq,17jan2023,0,118,.75
0024b3a1bc31f184077509a554210f33@prksq.com,High Fluency/High Quality - PerkSouq,17jan2023,0,43,.75
0024b3a1bc31f184077509a554210f33@prksq.com,High Fluency/High Quality - PerkSouq,17jan2023,0,92,1
0025b2abddeae4e2e3a2c559bdc62a3a@prksq.com,High Fluency/Low Quality - PerkSouq,16jan2023,1,10,.079999998
002c81f6f5787b2c885f0db0ff3741a7@prksq.com,Low Fluency/High Quality - PerkSouq,16jan2023,1,0,0
00334ed1a32c7944ebeaf8025b23df35@prksq.com,High Fluency/Low Quality - PerkSouq,16jan2023,1,0,0
0036b982456baa3b250e1151039474b4@prksq.com,High Fluency/High Quality - PerkSouq,16jan2023,1,24,.079999998
003819e33e6e865a71c8688f083ed168@prksq.com,Low Fluency/Low Quality - PerkSouq,16jan2023,0,2,.92000002
00381acfdbe95dd0220f38d3809a0a80@prksq.com,High Fluency/High Quality - PerkSouq,16jan2023,1,23,.079999998
004d0b178e640f459f7aeac512426010@prksq.com,Low Fluency/High Quality - PerkSouq,16jan2023,1,0,0
004e416ef5aba3c79febfaca8fc40b62@prksq.com,High Fluency/High Quality - PerkSouq,16jan2023,1,10,.079999998
00524acd59621d55ff4366ceca1657f5@prksq.com,Low Fluency/Low Quality - PerkSouq,16jan2023,0,78,.82999998
0052cb96904d27bcdf984b0c56a5ac73@prksq.com,High Fluency/Low Quality - PerkSouq,16jan2023,1,34,.079999998
00535a05abd745ee0b780416d2152297@prksq.com,High Fluency/High Quality - PerkSouq,17jan2023,0,523,.92000002
0059fc7a4282923088bc4a946610b029@prksq.com,Low Fluency/High Quality - PerkSouq,18jan2023,0,51,.57999998
005cac416968fc01a4b9fe47dd44552b@prksq.com,High Fluency/High Quality - PerkSouq,19jan2023,0,90,.67000002
005dac5d7ab17326d700e9f89c6cf554@prksq.com,Low Fluency/High Quality - PerkSouq,17jan2023,0,32,.41999999
005dac5d7ab17326d700e9f89c6cf554@prksq.com,Low Fluency/High Quality - PerkSouq,16jan2023,1,24,.079999998
005edf8d1473bf5e66aeaa7bd4049a2a@prksq.com,High Fluency/High Quality - PerkSouq,16jan2023,1,43,.079999998
005f674eb4a7249a920b63fa915db629@prksq.com,Low Fluency/High Quality - PerkSouq,16jan2023,1,23,.079999998
006364d60214f84c96fdb8b04470bf26@prksq.com,Low Fluency/Low Quality - PerkSouq,16jan2023,1,23,.079999998
00688c4301b1fa1493f8dcef5eb796db@prksq.com,Low Fluency/Low Quality - PerkSouq,16jan2023,1,21,.079999998
006f2e1f4c52f64a68e2afa0a200d456@prksq.com,Low Fluency/Low Quality - PerkSouq,21jan2023,0,5,.25
007364167e186a0e82a6fd6c0ec05921@prksq.com,High Fluency/High Quality - PerkSouq,16jan2023,1,21,.079999998
007364167e186a0e82a6fd6c0ec05921@prksq.com,High Fluency/High Quality - PerkSouq,18jan2023,0,16,.67000002
0076d953792ebdebcb1e36dbdbd4c86c@prksq.com,High Fluency/Low Quality - PerkSouq,17jan2023,0,17,.75
0087a8fb34d569763c7d5e52c595b94f@prksq.com,Low Fluency/Low Quality - PerkSouq,16jan2023,1,10,.079999998
008801157754e25f5b2feb68f90f671a@prksq.com,Low Fluency/High Quality - PerkSouq,16jan2023,1,0,0
0095f6adfcbfd825d66fc6f00e82ed29@prksq.com,Low Fluency/High Quality - PerkSouq,16jan2023,1,10,.079999998
00a0fc2d4f4ccc0a39da4135d16e42e0@prksq.com,Low Fluency/Low Quality - PerkSouq,16jan2023,1,13,.079999998
00a1f20e85a0deb3bd60c3b917772aef@prksq.com,High Fluency/High Quality - PerkSouq,17jan2023,0,0,.67000002
00a7dbd6ff7d533ec29a4053a54cc229@prksq.com,High Fluency/High Quality - PerkSouq,16jan2023,1,24,.079999998
00c072fb75c63007dc4f8f3ea01ba515@prksq.com,Low Fluency/High Quality - PerkSouq,16jan2023,0,20,.33000001
00c68d3aad71fcad071151fb96afd7c0@prksq.com,High Fluency/Low Quality - PerkSouq,18jan2023,0,154,.92000002
