message_id,content,positive_RA1,category_RA1,positive_RA2,category_RA2,AGREED,CAT_AGREED,positive_db,positive_sm,category_db,category_sm,vote_resolved,category_resolved,final_vote,final_category,final_category_standardized
WW6TXbl+gFCrqTmEFz+z85U4aeOaQQyyaPa++dBL+nY-,"Hi Pier, Thanks so much for reaching out to tell us about Brachytix! [NAME] shared your email with the Bio + Health team here for review. After discussion with the team, we've determined this opportunity is not a fit for us at this time. For transparency, our main source of hesitation was around our current areas of focus and expertise our primary fund focus is on software-centered products rather than hardware or devices. We appreciate you reaching out to us and for your consideration. Sincerely,",0,industry,0,industry,1,1,,,,,,,0,industry,industry
aq39uAVFEiHd1GvA+zIyc84t--yqx8IT1LLSJx-VoeiL,"Dear Pier, thank you for contacting us (via [NAME]) for the investment opportunity in Brachytix. However, it lies outside our investment focus which is exclusively on longevity biotech. As you can see from our existing portfolio of investee companies, we also prefer drug development approaches. Nevertheless, we wish you a lot of success in your fundraising efforts.",0,industry,0,industry,1,1,,,,,,,0,industry,industry
im9gSA-Mwhpe4ED9dbi5V1hdpt9ybi10xej7chv+MIRH,"Your pitch shows promise, but we're currently focusing on different industries.",0,industry,0,industry,1,1,,,,,,,0,industry,industry
6pDWXNfn7pgwCyczTodZ8qJ985oP3uT3FhOZeVHfX2Rx,Please share the full deck with me.,1,more info/clarification,1,click on link (full deck),1,0,,,,,,click on link (full deck),1,click on link (full deck),more info/clarification
rkrY9r5eUonc+ewpDerFggHXz7obPCGRV6HOVlOyRrux,I retired from [FIRM] a long time ago Pier,0,no investments,0,no specific reason,1,0,,,,,,no investments,0,no investments,no investments
qe1TquXepstobrfe9vde5ueMn5aSsrcKNx+AcY37cJiN,"Hey Pier, Thanks for reaching out, but it's not a fit. I only invest in startups with network effects.",0,industry,0,no specific reason,1,0,,,,,,investment strategy,0,investment strategy,investment strategy
GwC-m+BM8YxSKfvme778KFR3-ea+6Nkj-Csymxa2zpUR,We're unable to pursue this opportunity at this time.,0,no specific reason,0,no specific reason,1,1,,,,,,,0,no specific reason,no specific reason
a3Fnn4diOlSnbAXObuKqPf441zIbQ5uFNfMaJmL1=qUB,"Hi Pier, Thank you for reaching out. Can you please fill out this form [URL] since I may not be the best investor on our team to engage with you? A member of our team will further review your application.",1,formal application,1,formal application,1,1,,,,,,,1,formal application,formal application
6hct7skIDt30D1YDDO4AW+bib2FDe8h8p0IY99l7HBKY,Not in our portfolio strategy.,0,portfolio conflict,0,no specific reason,1,0,,,,,,investment strategy,0,investment strategy,investment strategy
Q-2srhXNF9cxA8Qep7eE=wDCMmnZ-MwzqIINjd9rHK4B,Your pitch has piqued our interest and we would like to learn more about your startup. Can we set up a meeting to discuss your pitch and explore potential partnership opportunities?,1,meeting,1,more info/clarification,1,0,,,,,,meeting,1,meeting,meeting
keVLjCZpGfMYRw5va4eCw+b7kC+3crcyTuAaCrPRJdOQ,"We appreciate your pitch, but at this time, we are only investing in companies that have a proven track record and evidence of success.",0,stage,0,stage,1,1,,,,,,,0,stage,stage
xmmOQLh1r=XF4vCh2obkKZg5zO=me2dYCQRQ+=F-CI8e,Outside our main area of focus. Thanks and good luck.,0,industry,0,industry,1,1,,,,,,,0,industry,industry
sCr5Jm=pts6jePyM20hwiRinjwNiR9gyEn5Oo8hOUlUf,"Your startup looks interesting, but unfortunately, we are not currently investing in the medical devices or pharma sectors.",0,industry,0,industry,1,1,,,,,,,0,industry,industry
8OQCU7BsvXJGpUQs4ZNz5DF7SMuHr4x8I4pXe4cWXzy9,"Thanks for your interest in our firm, but we must decline.",0,no specific reason,0,no specific reason,1,1,,,,,,,0,no specific reason,no specific reason
mEjYWrGxdFwJpVteDrCmbBDNSg9vwviDExPFMU=qZeMS,Thanks for reaching out. Unfortunately this isn't an area of interest for us so we're going to pass on taking any of your time. Thanks for giving us the opportunity and we wish you the best.,0,investment strategy,0,industry,1,0,,,,,,investment strategy,0,investment strategy,investment strategy
r6s8KTOa0O-IuMchH3I1cC3P1hI3hsaiOSRRrScgeCKg,"Your pitch is impressive, but unfortunately, we are not active in the drug development or medical devices sectors.",0,industry,0,industry,1,1,,,,,,,0,industry,industry
IRRMPdvEdyOUvk8fZjcSHhY0w473nLPJDM5QcsKGKo6A,"We appreciate your interest, but this is not the right opportunity for us.",0,no specific reason,0,no specific reason,1,1,,,,,,,0,no specific reason,no specific reason
IY1qFZQygEI6w4aAZnFzYJ12iNZUuQFSCRuydJQ6MMcA,Not something we can pursue at this time.,0,no specific reason,0,no specific reason,1,1,,,,,,,0,no specific reason,no specific reason
