uuid,linkname,date_visit,atypical,duration,completion
,Low Fluency/Low Quality - Brachytix,26jan2023,0,24,.079999998
,Low Fluency/Low Quality - Brachytix,24jan2023,0,116.00001,.92000002
,Low Fluency/Low Quality - Brachytix,23jan2023,1,113,1
,Low Fluency/High Quality - Brachytix,22jan2023,0,24,.079999998
,Low Fluency/High Quality - Brachytix,09feb2023,0,1,.079999998
,Low Fluency/Low Quality - Brachytix,03feb2023,0,0,0
,High Fluency/High Quality - Brachytix,01feb2023,0,0,0
,Low Fluency/High Quality - Brachytix,07feb2023,0,227.99998,.079999998
,Low Fluency/High Quality - Brachytix,19jan2023,0,0,0
,High Fluency/Low Quality - Brachytix,29jan2023,1,0,0
,Low Fluency/Low Quality - Brachytix,31jan2023,0,0,0
,High Fluency/High Quality - Brachytix,01feb2023,0,0,0
,Low Fluency/Low Quality - Brachytix,12feb2023,1,0,0
,High Fluency/High Quality - Brachytix,06feb2023,0,0,0
,High Fluency/High Quality - Brachytix,29jan2023,0,24,.079999998
,High Fluency/High Quality - Brachytix,16jan2023,0,0,0
,Low Fluency/Low Quality - Brachytix,17jan2023,0,24,.079999998
,Low Fluency/Low Quality - Brachytix,22jan2023,1,0,0
,Low Fluency/Low Quality - Brachytix,25jan2023,0,5,.079999998
,High Fluency/Low Quality - Brachytix,02feb2023,0,68,1
,Low Fluency/Low Quality - Brachytix,16jan2023,1,46.000004,.079999998
,Low Fluency/High Quality - Brachytix,16jan2023,0,0,0
,High Fluency/High Quality - Brachytix,16jan2023,1,0,0
,Low Fluency/High Quality - Brachytix,03feb2023,0,10,.079999998
,Low Fluency/Low Quality - Brachytix,16jan2023,0,24,.079999998
,Low Fluency/High Quality - Brachytix,18jan2023,0,0,0
,High Fluency/High Quality - Brachytix,01feb2023,0,0,0
,High Fluency/Low Quality - Brachytix,25jan2023,1,0,0
,High Fluency/Low Quality - Brachytix,05feb2023,0,21.999998,.079999998
,High Fluency/High Quality - Brachytix,24jan2023,0,0,0
,High Fluency/High Quality - Brachytix,16jan2023,1,0,0
,High Fluency/High Quality - Brachytix,03feb2023,0,16,.92000002
,Low Fluency/Low Quality - Brachytix,04feb2023,0,12,.079999998
,High Fluency/High Quality - Brachytix,28jan2023,0,0,0
,High Fluency/High Quality - Brachytix,25jan2023,0,29.000002,.079999998
,High Fluency/High Quality - Brachytix,17jan2023,0,24,.079999998
,Low Fluency/Low Quality - Brachytix,27jan2023,0,24,.079999998
,Low Fluency/Low Quality - Brachytix,31jan2023,0,0,0
,High Fluency/High Quality - Brachytix,09feb2023,1,45.000004,1
,Low Fluency/High Quality - Brachytix,27jan2023,0,0,0
,High Fluency/Low Quality - Brachytix,24jan2023,0,0,0
,Low Fluency/High Quality - Brachytix,23jan2023,0,24,.079999998
,High Fluency/High Quality - Brachytix,24jan2023,0,0,0
,High Fluency/Low Quality - Brachytix,06feb2023,1,55,1
,Low Fluency/High Quality - Brachytix,29jan2023,0,24,.079999998
,High Fluency/Low Quality - Brachytix,08feb2023,0,0,0
