uuid,Investor type,hard_bounce,date_first_click,date_reply,positive,category
00033781ef2ff4a0ec2e5925d7433d79@brchytx.com,Angel,0,NA,NA,NA,NA
000392dda592a762b395e1b7f8d45f9f@brchytx.com,Angel,0,2023-01-19,2023-01-21,1,more info/clarification
0007bb3a3fe49297fa6ae8a62cbea998@brchytx.com,Angel,0,2023-01-18,2023-01-24,1,more info/clarification
00083f1a906e2f5af0c084ccdf205467@brchytx.com,Angel,0,NA,NA,NA,NA
000ae0af1299633558784fea89fc7050@brchytx.com,Angel,0,NA,NA,NA,NA
0018f71ba5a54b555334151f4c5e2c17@brchytx.com,Angel,0,2023-01-20,2023-01-25,1,more info/clarification
001fb9b5fdc957650697efc6ec03d1ab@brchytx.com,Venture Capital,0,NA,NA,NA,NA
002b91b4f6e16892db23b079812da2bb@brchytx.com,Angel,1,NA,NA,NA,NA
002d53f0cc2cb3c7ead40f61ba333078@brchytx.com,Angel,0,NA,NA,NA,NA
002d5cbda91b310401ca1492f0cf0346@brchytx.com,Venture Capital,0,NA,NA,NA,NA
0031d01e9e3c18cb587e28686d44efa6@brchytx.com,Venture Capital,0,NA,NA,NA,NA
0034f3ba6d3756cfe9255b3e5918c99b@brchytx.com,Venture Capital,0,NA,NA,NA,NA
0039393929895b3f417d507722b25506@brchytx.com,Angel,1,NA,NA,NA,NA
00397b97daca9663572805e34a1d1598@brchytx.com,Venture Capital,0,NA,NA,NA,NA
003bf64b862a2421b1bf80335caeeba8@brchytx.com,Angel,0,2023-01-17,NA,NA,NA
003c592159efa7f62917a9a1f617b686@brchytx.com,Venture Capital,0,2023-01-18,NA,NA,NA
003d751c1105a8c802881a80fbc41c2a@brchytx.com,Venture Capital,0,NA,NA,NA,NA
003fe521eeaf56850d3aa9584aea2f2e@brchytx.com,Angel,1,NA,NA,NA,NA
00485b94cf9a40db5ce8129d4cab9fcb@brchytx.com,Venture Capital,0,NA,NA,NA,NA
00493a1d900c9d8ea045cf9c0af605c5@brchytx.com,Angel,0,NA,NA,NA,NA
005ac533183d08128a2c6d96efbe89de@brchytx.com,Angel,0,NA,NA,NA,NA
006482ccd522e5b0092d7fbdba0ed31c@brchytx.com,Angel,0,NA,NA,NA,NA
0065aaf57e0e8f9927e8fed6d5ef4c34@brchytx.com,Venture Capital,0,NA,NA,NA,NA
006acb6b02f8e1aeaf840f273082ae6c@brchytx.com,Angel,0,NA,NA,NA,NA
006d63e3a7786f187cddbcd8926a89d7@brchytx.com,Venture Capital,0,NA,NA,NA,NA
00720ee481f91e89f55c947a4ebb6e3d@brchytx.com,Angel,0,NA,NA,NA,NA
007de2297546918270e959d078464380@brchytx.com,Angel,1,NA,NA,NA,NA
008e6715a86a14930290c7e104e9a7ce@brchytx.com,Venture Capital,0,NA,NA,NA,NA
008ff76c8b3387d0e44a4cb3ce225290@brchytx.com,Angel,1,NA,NA,NA,NA
0095c0718018f8205cc1cd4c962f47da@brchytx.com,Angel,1,NA,NA,NA,NA
009e78be5d858e6a631a692c17cc5820@brchytx.com,Angel,0,NA,NA,NA,NA
00a5145cde73603fbcd531f378eec562@brchytx.com,Venture Capital,0,NA,NA,NA,NA
00a5e827d6b6e77dc10015149df5bae0@brchytx.com,Venture Capital,0,2023-01-17,NA,NA,NA
00a7f70e73e126d74b9e9513dd7e741b@brchytx.com,Angel,1,NA,NA,NA,NA
00ace7035af0c2e7e7a809ce377ea5e5@brchytx.com,Venture Capital,0,NA,NA,NA,NA
00b0fb90d31028402ad9975c25141782@brchytx.com,Venture Capital,0,NA,NA,NA,NA
00bc892706d58babafc769b7bd267ca7@brchytx.com,Angel,0,2023-01-19,2023-01-19,1,more info/clarification
00c36a4c0687c11c00fcf1c5ed1d5cd3@brchytx.com,Angel,0,NA,NA,NA,NA
00c56edc5b0685f72544e70aa40b374f@brchytx.com,Venture Capital,0,NA,NA,NA,NA
00c58db2ed8e26e67d00be5f930f5d8c@brchytx.com,Venture Capital,0,NA,NA,NA,NA
00c64ffe49d896cd3ec69e2b0896cb6d@brchytx.com,Venture Capital,0,NA,NA,NA,NA
00cf80feeec57e62f053e6aff1117c3f@brchytx.com,Angel,0,NA,NA,NA,NA
00d15c9e94ba49b764db82d8574553e0@brchytx.com,Angel,0,2023-01-20,NA,NA,NA
00d16754d312def1027b7c1a6d70a8cd@brchytx.com,Angel,1,NA,NA,NA,NA
00d71ef9ffba22921d20261d7a783055@brchytx.com,Venture Capital,0,NA,NA,NA,NA
00d72983808c86619b86b5665ab5a4e6@brchytx.com,Venture Capital,0,NA,NA,NA,NA
