uuid,Investor type,hard_bounce,date_first_click,date_reply,positive,category
0000bfb76fe6954e161f4bea3aefdb06@prksq.com,Angel,0,NA,NA,NA,NA
0000e71a6b32cbae622d8d965d813ef6@prksq.com,Venture Capital,0,2023-01-18,NA,NA,NA
00032c9c53a427b084cf46284e80a421@prksq.com,Angel,0,NA,NA,NA,NA
000356fc432c3d01391b769edd9da1d7@prksq.com,Venture Capital,0,NA,NA,NA,NA
0007785a3d818844dfa4e59741f2dccb@prksq.com,Angel,0,NA,NA,NA,NA
0008912c88c5d607d27cea765943d050@prksq.com,Venture Capital,1,NA,NA,NA,NA
0008f2c18acaa29fc871e7e308274e64@prksq.com,Venture Capital,0,NA,NA,NA,NA
000aec9197f01deb980c0e432fa404f4@prksq.com,Angel,0,NA,NA,NA,NA
000b3dce3b58f2ede1f97816567d26d1@prksq.com,Angel,0,NA,NA,NA,NA
000d895480516ce86c8cd3be66d53c03@prksq.com,Angel,0,NA,NA,NA,NA
000eb61b0d2bacbd138aa28cf1e6dc87@prksq.com,Angel,0,NA,NA,NA,NA
000fd0e944f24657fd14bdccf5f0e2ce@prksq.com,Venture Capital,0,NA,NA,NA,NA
00109b9795e3bc5bc8aa26a4016e001b@prksq.com,Angel,0,2023-01-19,NA,NA,NA
001267255c53fd1d8ea0b183bc96a4f8@prksq.com,Angel,0,NA,NA,NA,NA
001483c2c0452c385870ebcf1310dd2f@prksq.com,Angel,0,NA,NA,NA,NA
0016a811904587fbcf71cc7f6e2fd030@prksq.com,Angel,0,NA,NA,NA,NA
001b1fa2eb8169d9ea672315a8a4d19b@prksq.com,Angel,0,NA,NA,NA,NA
001b24078de0846799c912cbc74a45ed@prksq.com,Venture Capital,0,NA,NA,NA,NA
001db29df0f15a9ee965caa11308b422@prksq.com,Angel,0,NA,NA,NA,NA
0022c87e255d571d6a85108d89827e0f@prksq.com,Venture Capital,0,2023-01-17,2023-01-17,1,referral
0024b3a1bc31f184077509a554210f33@prksq.com,Angel,0,2023-01-17,2023-01-20,1,updates
0025b2abddeae4e2e3a2c559bdc62a3a@prksq.com,Angel,0,NA,NA,NA,NA
002733f8ab19bcc661b6fa0e3c9b2522@prksq.com,Angel,0,NA,NA,NA,NA
00298e32a7b8e88bd010f9dd6be8cdd1@prksq.com,Angel,1,NA,NA,NA,NA
002b8298ab03c7a8e555c3bb1335c2c5@prksq.com,Angel,0,NA,NA,NA,NA
002c81f6f5787b2c885f0db0ff3741a7@prksq.com,Angel,0,NA,NA,NA,NA
0032858c60dafbe3cadcb078c0d406f5@prksq.com,Venture Capital,0,NA,NA,NA,NA
00331e2e20fc1a388632e743bea2d068@prksq.com,Angel,0,NA,NA,NA,NA
00334ed1a32c7944ebeaf8025b23df35@prksq.com,Angel,0,NA,NA,NA,NA
0036b982456baa3b250e1151039474b4@prksq.com,Angel,0,NA,NA,NA,NA
003819e33e6e865a71c8688f083ed168@prksq.com,Angel,0,NA,NA,NA,NA
00381acfdbe95dd0220f38d3809a0a80@prksq.com,Angel,0,NA,NA,NA,NA
003a50f5a107761600fe5a2e2e184135@prksq.com,Angel,0,NA,NA,NA,NA
003fd10ff8c653d7bfb586449a305d08@prksq.com,Angel,0,NA,NA,NA,NA
0043a77e1cb85a778a024e0086ff214f@prksq.com,Angel,0,NA,NA,NA,NA
004709645cf0e400a5424809570d962a@prksq.com,Angel,0,NA,NA,NA,NA
004a24d79d58eca56154d8a13e6e246e@prksq.com,Angel,0,NA,NA,NA,NA
004d0b178e640f459f7aeac512426010@prksq.com,Angel,0,NA,NA,NA,NA
004e416ef5aba3c79febfaca8fc40b62@prksq.com,Angel,0,NA,NA,NA,NA
00524acd59621d55ff4366ceca1657f5@prksq.com,Angel,0,2023-01-16,NA,NA,NA
0052cb96904d27bcdf984b0c56a5ac73@prksq.com,Angel,0,NA,NA,NA,NA
00535a05abd745ee0b780416d2152297@prksq.com,Angel,0,2023-01-17,NA,NA,NA
0058ae844d3c8ac38e0df1960e365f08@prksq.com,Angel,0,NA,NA,NA,NA
0059fc7a4282923088bc4a946610b029@prksq.com,Angel,0,2023-01-18,2023-01-18,1,referral
005cac416968fc01a4b9fe47dd44552b@prksq.com,Venture Capital,0,2023-01-19,NA,NA,NA
005dac5d7ab17326d700e9f89c6cf554@prksq.com,Angel,0,2023-01-17,NA,NA,NA
005edf8d1473bf5e66aeaa7bd4049a2a@prksq.com,Angel,0,NA,NA,NA,NA
005f674eb4a7249a920b63fa915db629@prksq.com,Angel,0,NA,NA,NA,NA
006364d60214f84c96fdb8b04470bf26@prksq.com,Angel,0,NA,NA,NA,NA
00639975bc123ef16b2a8a116d6e8c23@prksq.com,Angel,0,NA,NA,NA,NA
00688c4301b1fa1493f8dcef5eb796db@prksq.com,Venture Capital,0,NA,NA,NA,NA
006a251d5f96ac564f7cf8bddeeaa089@prksq.com,Angel,0,NA,NA,NA,NA
006f2e1f4c52f64a68e2afa0a200d456@prksq.com,Angel,0,2023-01-21,NA,NA,NA
007364167e186a0e82a6fd6c0ec05921@prksq.com,Angel,0,2023-01-18,NA,NA,NA
007527a2a52977ff32aef2bd7e03d5dd@prksq.com,Angel,0,NA,NA,NA,NA
0076d953792ebdebcb1e36dbdbd4c86c@prksq.com,Angel,0,2023-01-17,NA,NA,NA
0079eefa8c132464e1b2e1f3cb2861ad@prksq.com,Venture Capital,0,NA,NA,NA,NA
007a152fc5c5a579ed1eedb179a5a5fd@prksq.com,Angel,1,NA,NA,NA,NA
007d28fc9627319430b892e5f427c36c@prksq.com,Angel,0,NA,NA,NA,NA
008036bf277399a398f08f31398e4fce@prksq.com,Angel,1,NA,NA,NA,NA
0081b33fd52c435d3f19fd814c1f0c10@prksq.com,Angel,0,NA,NA,NA,NA
0087a8fb34d569763c7d5e52c595b94f@prksq.com,Angel,0,NA,NA,NA,NA
008801157754e25f5b2feb68f90f671a@prksq.com,Angel,0,NA,NA,NA,NA
0088aa5c87909239cc322f624dcdce81@prksq.com,Angel,0,NA,NA,NA,NA
008e82ad2286a164d75ac51c63f107b8@prksq.com,Angel,0,NA,NA,NA,NA
00910775d5a2a1c97a528d56eed15d5f@prksq.com,Angel,0,NA,NA,NA,NA
0095f6adfcbfd825d66fc6f00e82ed29@prksq.com,Venture Capital,0,NA,NA,NA,NA
009ac29946e4f0f11cfc49d61c69a91d@prksq.com,Venture Capital,0,NA,NA,NA,NA
009c800dcf76f7efb2883e009ad89b50@prksq.com,Angel,1,NA,NA,NA,NA
00a0f4ea1466242fe37a0c1552c86b75@prksq.com,Angel,0,NA,NA,NA,NA
00a0fc2d4f4ccc0a39da4135d16e42e0@prksq.com,Angel,0,NA,NA,NA,NA
00a1f20e85a0deb3bd60c3b917772aef@prksq.com,Angel,0,NA,NA,NA,NA
00a7dbd6ff7d533ec29a4053a54cc229@prksq.com,Angel,0,NA,NA,NA,NA
00a88a4fc51eaac81b27bd17028aa649@prksq.com,Angel,0,NA,NA,NA,NA
00abaa36b2e32da60cdea96032502718@prksq.com,Angel,0,NA,NA,NA,NA
00ae17228e954abcc8dc1a0a19c8e29b@prksq.com,Angel,0,NA,NA,NA,NA
00b86349cb6603839f94509734ad4c87@prksq.com,Angel,0,NA,NA,NA,NA
00c072fb75c63007dc4f8f3ea01ba515@prksq.com,Angel,0,2023-01-16,NA,NA,NA
00c68d3aad71fcad071151fb96afd7c0@prksq.com,Angel,0,2023-01-18,NA,NA,NA
00c742b4f2117c3c8ae898c5ad7bd6ef@prksq.com,Angel,0,NA,NA,NA,NA
00c747cd458f8acc2eb2a39263cc946f@prksq.com,Angel,0,NA,NA,NA,NA
00d1ff7e37a5eb5c781d55fcf6bef74d@prksq.com,Angel,0,NA,NA,NA,NA
00d3b3209b1680a6673145eae4faa02d@prksq.com,Angel,0,NA,NA,NA,NA
00d9151bba1ae52a4048b35adcaa049b@prksq.com,Angel,0,NA,NA,NA,NA
00d929dac8f6c583a44d4d239196eb02@prksq.com,Angel,0,NA,NA,NA,NA
00d943cd1666bd25bcf2bb04a1836787@prksq.com,Angel,0,NA,NA,NA,NA
00dcc19ba50475dbea4600e3759cf79d@prksq.com,Angel,0,NA,NA,NA,NA
00e191feeaf9c0365138a2da02ddcbb9@prksq.com,Venture Capital,0,NA,NA,NA,NA
00e1d04bffbfc8ea9d3cd0d85df4b60c@prksq.com,Angel,0,NA,NA,NA,NA
00e2eddca28643943b6b6f16bcd22a51@prksq.com,Angel,0,NA,NA,NA,NA
00e75d74e17b0173d1f81c3736d4e40f@prksq.com,Angel,1,NA,NA,NA,NA
00e99a4c1a503071c02ad0066a7ec543@prksq.com,Venture Capital,0,NA,NA,NA,NA
00edc1b7c96b0a2228bc92460cdcc7a7@prksq.com,Venture Capital,0,NA,NA,NA,NA
00efcdbea2edec9d4b5207d2c27e43de@prksq.com,Angel,0,NA,NA,NA,NA
00f0be2e0c0e7ef908f8c67fbc4e1a15@prksq.com,Angel,0,NA,NA,NA,NA
00fa996873b7a7e0452431d87e84bf9d@prksq.com,Venture Capital,0,NA,NA,NA,NA
00fb467e29a936b243cc0be99f6726fe@prksq.com,Venture Capital,0,NA,NA,NA,NA
00fbf77b616c9b6d10fa4ca0fdca224b@prksq.com,Angel,0,NA,NA,NA,NA
00fd68ec5835e127867d718eddbd9ea5@prksq.com,Angel,0,NA,NA,NA,NA
00fe5ff31c25a93dd6ca0699dd301264@prksq.com,Angel,1,NA,NA,NA,NA
0104cf5a820d429c620c52c5e89dad39@prksq.com,Angel,0,NA,NA,NA,NA
0107a710b3b7488881c13c07c212bf8c@prksq.com,Angel,1,NA,NA,NA,NA
010a91a199ce6671a85fef39ee154113@prksq.com,Angel,0,NA,NA,NA,NA
010aa46dae3675c82a6a8cc1b7f27ce5@prksq.com,Angel,0,2023-01-19,NA,NA,NA
0110de8969f49fe718beaa4ac571da2b@prksq.com,Angel,0,NA,NA,NA,NA
01130472566a11056624302f1165a2dd@prksq.com,Angel,1,NA,NA,NA,NA
01140e00f893b30c5240021cc9998509@prksq.com,Angel,0,2023-01-19,NA,NA,NA
01158eccf12d9aa517c20565bf73074d@prksq.com,Angel,1,NA,NA,NA,NA
01193a21e8691856f960891eb3023f9a@prksq.com,Angel,0,NA,NA,NA,NA
011940d7dc6a8eee85235da327cc08be@prksq.com,Venture Capital,0,NA,NA,NA,NA
011a49e45926f2a3b1acdc661d5928d1@prksq.com,Angel,0,NA,NA,NA,NA
011bb0677f5d8ed847e2670064d43a5f@prksq.com,Angel,0,NA,NA,NA,NA
01227b459b585b44b531d27181e612fd@prksq.com,Angel,0,2023-01-16,2023-01-23,1,updates
0122a7fcf11aaffc769bfbd1c836e2a8@prksq.com,Angel,0,NA,NA,NA,NA
013382ac779d6e002915d3fe13927689@prksq.com,Angel,0,NA,NA,NA,NA
01373923364f81c778d126fa896fdffc@prksq.com,Angel,0,NA,NA,NA,NA
01377d0a7b4d7442249f4579b5aa517a@prksq.com,Angel,1,NA,NA,NA,NA
01383c891e4472ab1790cc9765e87480@prksq.com,Angel,0,2023-01-16,NA,NA,NA
0139f4a40137ab9d03cfff2ef5ee63fc@prksq.com,Angel,0,NA,NA,NA,NA
013e10acc56c0e5b578307df6e283416@prksq.com,Angel,0,2023-01-17,2023-01-17,1,more info/clarification
0140fa7dbf625d5d734943344e477e3c@prksq.com,Angel,0,2023-01-19,NA,NA,NA
0142f063fb750f096af6e7d4992e9d4a@prksq.com,Angel,0,NA,NA,NA,NA
014542834b41b28c89f891aebf3fe170@prksq.com,Angel,0,NA,NA,NA,NA
0147a32aff30d45c520e1adf77dba6df@prksq.com,Angel,0,NA,NA,NA,NA
01496a112f71fc047e005bf231a367bc@prksq.com,Angel,0,NA,NA,NA,NA
014d4b6ed25c3bae641c2bbee26b4d13@prksq.com,Angel,0,NA,NA,NA,NA
014e14ee0cbb5462d4bfe40b1a11820a@prksq.com,Angel,0,2023-01-19,NA,NA,NA
0151bb8161daf54d323829bc48974c4d@prksq.com,Angel,0,NA,NA,NA,NA
01538032766fa7e55165f8299e236e53@prksq.com,Angel,0,2023-01-17,NA,NA,NA
0154b46a93edad299e7fd836989dd7c9@prksq.com,Venture Capital,1,NA,NA,NA,NA
015594fd7795ed2b49f20819ec35563d@prksq.com,Angel,0,NA,NA,NA,NA
0159bb568845e662699725b0c569de43@prksq.com,Angel,0,NA,NA,NA,NA
015a238b77f268be1455b95725ad6fde@prksq.com,Angel,0,NA,NA,NA,NA
015e0de55a0657b8ed4da6cfd3e1fdde@prksq.com,Venture Capital,0,NA,NA,NA,NA
015f76a429d5ac5097e61b94816fb506@prksq.com,Angel,1,NA,NA,NA,NA
0161d9672876af015ba0419e2c3a19ef@prksq.com,Angel,0,NA,NA,NA,NA
01672f8a448a50430ad548dd46f63221@prksq.com,Venture Capital,1,NA,NA,NA,NA
016cb001b35d37df573a1a82462f8e33@prksq.com,Angel,1,NA,NA,NA,NA
016db5a5d8c974ede2e181fa86869722@prksq.com,Angel,0,NA,NA,NA,NA
0170e03a1c3fe5ea6675bc8e1d0e583e@prksq.com,Venture Capital,0,2023-01-16,NA,NA,NA
0170eabdbff6804082034e8afc943d3e@prksq.com,Angel,0,NA,NA,NA,NA
0178b31b7cbdf868b2a613aa19749178@prksq.com,Angel,0,2023-01-17,2023-01-17,1,referral
01791eea4484e4b845302fcd9108d0c9@prksq.com,Angel,0,2023-01-18,NA,NA,NA
01795c5f93be3b6e10b691f1f86f4ae3@prksq.com,Angel,1,NA,NA,NA,NA
017ad3271d8bb3b3d381c9fb4679a6b9@prksq.com,Angel,0,NA,NA,NA,NA
017c5d025587c9cd120d7e2b3b96259f@prksq.com,Angel,0,NA,NA,NA,NA
017dbd7a717f9fe71cd107d564a497d6@prksq.com,Angel,0,NA,NA,NA,NA
0187fb942a688366ccb6497e8bad4ea8@prksq.com,Angel,1,NA,NA,NA,NA
018b53644ede59cedafac62e29924bbd@prksq.com,Angel,0,2023-01-18,NA,NA,NA
018bd8e09de104a3022863e545273205@prksq.com,Angel,0,NA,NA,NA,NA
018cfc36b32c55657d3abb2d6a21c7a1@prksq.com,Angel,0,NA,NA,NA,NA
01a4bd5c41fdc2c38123ceba45f2f55f@prksq.com,Angel,1,NA,NA,NA,NA
01a5d3549225c702c6662c8b8df8668b@prksq.com,Angel,0,NA,NA,NA,NA
01a8c16f69fb06a292be617bd4a17416@prksq.com,Angel,0,NA,NA,NA,NA
01ab31c1ebc06871e03b332200e57b69@prksq.com,Angel,0,2023-01-16,NA,NA,NA
01abdf9942aaf60b3761135187941826@prksq.com,Angel,0,NA,NA,NA,NA
01ac5b068e9908d4ee338ad69b60be58@prksq.com,Angel,1,NA,NA,NA,NA
01ac7f9f378cc2ebe9efa76613f28e8e@prksq.com,Angel,0,2023-01-17,2023-01-17,1,referral
01aecd153c7d1abcf5c9078109a9cfec@prksq.com,Angel,0,NA,NA,NA,NA
01b34cd3935506a3d3f0a2321e7cda98@prksq.com,Angel,0,2023-01-18,NA,NA,NA
01b76a54d9da3596454050e230ed9c6a@prksq.com,Angel,1,NA,NA,NA,NA
01b911e576a32ca2a54eef44a8c8cd15@prksq.com,Venture Capital,0,NA,NA,NA,NA
01bafab4b98f37bdc1117a681403863c@prksq.com,Angel,0,NA,NA,NA,NA
01bd57de450b030b2aa627f7e859cf99@prksq.com,Angel,1,NA,NA,NA,NA
01bec072d57e5887a53e611c7cc30893@prksq.com,Angel,0,2023-01-18,NA,NA,NA
01bf32ffb31d619612118c0c89ad9c24@prksq.com,Angel,0,NA,NA,NA,NA
01c508866f6e513d7efbe69bbb261d22@prksq.com,Angel,0,NA,NA,NA,NA
01ca33cc6c28c29815a33041f40a6d21@prksq.com,Venture Capital,1,NA,NA,NA,NA
01cd0308a08e14a15c8750c50186fc00@prksq.com,Angel,0,NA,NA,NA,NA
01cddb5cb2a68600e1993ebae94ecc90@prksq.com,Angel,1,NA,NA,NA,NA
01d1042017e4d87b78797e01fde4419f@prksq.com,Angel,0,NA,NA,NA,NA
01d24e0668d4112806b413091e1b1038@prksq.com,Angel,0,NA,NA,NA,NA
01d60112a5f7bbc46ba8753d5b9c1717@prksq.com,Angel,0,NA,NA,NA,NA
01d6a55191cfbf0447f103a86e711012@prksq.com,Angel,1,NA,NA,NA,NA
01de243498833d9314254cab9028c396@prksq.com,Angel,0,NA,NA,NA,NA
01e10b6811bc82a629e94f723ebd89eb@prksq.com,Angel,0,NA,NA,NA,NA
01e3ab239cf0051785ceaafd75988fa2@prksq.com,Angel,1,NA,NA,NA,NA
01e63b1048dc377cb53cd9fd826cc3e0@prksq.com,Angel,0,NA,NA,NA,NA
01e856499c297fee998eb0db0ae03e96@prksq.com,Angel,0,NA,NA,NA,NA
01ebd57f25fc60ea668d0401c7755ec4@prksq.com,Angel,1,NA,NA,NA,NA
01ed97ed81ce08a94706887091f3387d@prksq.com,Venture Capital,0,NA,NA,NA,NA
01efd1c37744e280072037f5c567a1ab@prksq.com,Angel,0,NA,NA,NA,NA
01eff3b0965969e6fbc00e66e40f72f4@prksq.com,Venture Capital,0,NA,NA,NA,NA
01f03c92420109160875a062d9ab38d8@prksq.com,Angel,0,2023-01-16,NA,NA,NA
01f1f2daf91bd89987f0f041a83b6304@prksq.com,Angel,0,2023-01-18,NA,NA,NA
01f873c1010c672f15537c8eccc54317@prksq.com,Angel,0,NA,NA,NA,NA
01fc557c811c41a673613d6037de6e76@prksq.com,Angel,0,NA,NA,NA,NA
01fdec3884bc5015b13e85752181210f@prksq.com,Angel,1,NA,NA,NA,NA
01ffe53d5a929908035225c67d7d247b@prksq.com,Angel,0,NA,NA,NA,NA
0205980496cbab0397ca773ffa1d490a@prksq.com,Angel,1,NA,NA,NA,NA
0206890e51ab005946b2e4cd0fc1a656@prksq.com,Angel,0,2023-01-18,2023-01-19,1,updates
020923bf96fd8e20dd5c753d0ba2b636@prksq.com,Angel,0,NA,NA,NA,NA
020a03c151516a2c1626f65dbae22f30@prksq.com,Angel,0,NA,NA,NA,NA
020a47accbe5a5d6de71a0181333767b@prksq.com,Angel,0,NA,NA,NA,NA
020b741c7011e067d796f67df543c11c@prksq.com,Angel,1,NA,NA,NA,NA
020bdf30c1878aee43d5baa36485e3cb@prksq.com,Venture Capital,0,NA,NA,NA,NA
020c25bcfd0e7e09c757f7ee0b69f629@prksq.com,Angel,1,NA,NA,NA,NA
02113e0748ad7dbb85aa0c600454a9a4@prksq.com,Angel,0,NA,NA,NA,NA
0211b1b57ab1f3558bc18b632c639c8c@prksq.com,Angel,0,2023-01-18,NA,NA,NA
021406cb9096a3ae6dbe521156953821@prksq.com,Angel,0,2023-01-18,NA,NA,NA
0217b6a537e3248b80ebd334da1ea103@prksq.com,Angel,1,NA,NA,NA,NA
021804bd0fb6f5b48a7a8cc4f6c8154e@prksq.com,Angel,0,NA,NA,NA,NA
0218915525dcbbaedf32d67765ee5571@prksq.com,Angel,0,NA,NA,NA,NA
021c9567c506354d95e2d56835199156@prksq.com,Angel,0,NA,NA,NA,NA
021cac30f29f934473c9431e154be838@prksq.com,Angel,0,NA,NA,NA,NA
022195f3463f3e79ce238775e61910f9@prksq.com,Angel,0,NA,NA,NA,NA
0223191b54719f5b6d45dac4da1532ab@prksq.com,Angel,0,NA,NA,NA,NA
02234a540c990723f23f2575687c2c9e@prksq.com,Angel,0,2023-01-17,NA,NA,NA
022437d1b2925d4a66708f6f5c4ee351@prksq.com,Angel,0,NA,NA,NA,NA
0225233c10dc42167c9e065f3a4e0f41@prksq.com,Angel,0,NA,NA,NA,NA
022c99560209ab7f68a9885fed8caa6e@prksq.com,Venture Capital,0,2023-01-18,NA,NA,NA
0234afbb1ed4c91f1193168b85004b7f@prksq.com,Angel,1,NA,NA,NA,NA
0238bf55634e6206131a1abb109b4e79@prksq.com,Venture Capital,0,2023-01-16,2023-01-16,1,more info/clarification
023c27d279e52a13227d81d89ca8d82d@prksq.com,Venture Capital,0,NA,NA,NA,NA
023c4c3d2bd9cbb9536f41f449874a15@prksq.com,Angel,0,2023-01-20,NA,NA,NA
023cda5d31b3357c0dd992e5c651cf95@prksq.com,Angel,0,NA,NA,NA,NA
023ff761ee9adc31ba3bb98541e4babe@prksq.com,Angel,0,NA,NA,NA,NA
02432ae91c3aec4fc199bf6cfdfd8221@prksq.com,Angel,0,NA,NA,NA,NA
0244942ce4c91527712e53dafeae209d@prksq.com,Angel,0,NA,NA,NA,NA
02455fcfe734e72ce9bc64ae2be9c22e@prksq.com,Angel,1,NA,NA,NA,NA
0245d47c81da93610d24beae49908606@prksq.com,Angel,0,NA,NA,NA,NA
0247cc7cc424cbc220f554116101fe2f@prksq.com,Angel,0,2023-01-17,NA,NA,NA
0248fb8070cf18e91ede22a0f9335f51@prksq.com,Angel,0,NA,NA,NA,NA
024eabb3e08404dc12070db27377d372@prksq.com,Venture Capital,0,NA,NA,NA,NA
0254212f628bb6371816c4b6f508d7d0@prksq.com,Angel,0,NA,NA,NA,NA
0256b6c6476c5913092c304e38cdd1df@prksq.com,Venture Capital,0,2023-01-17,NA,NA,NA
0257486e084f4f3d74b9db1ee7d78b2f@prksq.com,Angel,0,NA,NA,NA,NA
