duration,completion,fluency_condition,quality_condition,ID
0.001435185,0.92000002,high,high,299
0.001319444,1,high,high,297
0.001215278,1,high,high,296
2.77778e-4,0.92000002,high,high,287
0.001840278,1,high,high,284
3.35648e-4,1,high,high,267
7.98611e-4,1,high,high,268
0.002326389,1,high,high,276
0.001851852,1,high,high,269
0.001041667,0.82999998,high,high,250
0.001446759,1,high,high,257
0.002731481,0.25,high,high,286
0.001099537,0.67000002,high,high,289
0.002013889,1,high,high,237
9.60648e-4,1,high,high,230
0.001736111,1,high,high,231
0.001203704,0.92000002,high,high,232
0.002430556,1,high,high,234
0.001539352,1,high,high,235
0.001759259,1,high,high,225
0.001493056,1,high,high,221
8.44907e-4,1,high,high,215
0.00275463,1,high,high,227
0.001284722,1,high,high,210
0.002789352,1,high,high,217
0.00162037,1,high,high,207
0.003402778,1,high,high,203
0.001388889,1,high,high,193
7.17593e-4,0.57999998,high,high,184
4.05093e-4,1,high,high,176
0.002511574,1,high,high,189
5.32407e-4,0.67000002,high,high,179
0.002476852,1,high,high,187
0.001064815,0.5,high,high,147
0.002361111,1,high,high,165
0.001493056,0.92000002,high,high,156
3.47e-5,0.92000002,high,high,164
0.001585648,1,high,high,188
0.001238426,0.92000002,high,high,140
0.003298611,1,high,high,166
8.10185e-4,0.5,high,high,142
0.002546296,1,high,high,127
0.001053241,1,high,high,126
0.002083333,1,high,high,137
1.73611e-4,0.92000002,high,high,124
0.001423611,1,high,high,117
8.91204e-4,1,high,high,145
3.125e-4,1,high,high,93
6.71296e-4,0.92000002,high,high,101
0.001076389,1,high,high,109
0.003090278,1,high,high,120
0.003726852,1,high,high,121
9.83796e-4,1,high,high,90
0.002118056,0.92000002,high,high,97
0.002025463,1,high,high,98
0.003460648,1,high,high,96
0.001238426,1,high,high,74
0.001886574,1,high,high,81
6.01852e-4,1,high,high,66
4.62963e-4,1,high,high,63
0.001655093,1,high,high,64
0.001493056,1,high,high,62
9.14352e-4,1,high,high,49
0.002627315,1,high,high,65
7.52315e-4,0.92000002,high,high,43
0.003993056,1,high,high,51
6.94e-5,1,high,high,41
0.001863426,1,high,high,36
1.73611e-4,1,high,high,40
0.002303241,1,high,high,34
0.003518519,1,high,high,23
1.04167e-4,1,high,high,16
0.002210648,1,high,high,15
0.001203704,1,high,high,11
8.21759e-4,1,high,high,10
1.15741e-4,0.17,high,high,6
0.001261574,1,low,low,301
2.31e-5,0.079999998,low,low,300
0.002650463,0.92000002,low,low,302
8.44907e-4,0.92000002,low,low,278
0.001157407,1,low,low,273
0.002476852,1,low,low,277
8.56481e-4,1,low,low,260
4.63e-5,0.92000002,low,low,262
0.002164352,1,low,low,270
7.87037e-4,0.92000002,low,low,264
0.001574074,0.82999998,low,low,246
0.00181713,1,low,low,245
0.004039352,1,low,low,259
0.003043981,1,low,low,244
0.00119213,1,low,low,223
0.001678241,1,low,low,216
0.003553241,1,low,low,253
0.017905093,0.92000002,low,low,240
0.00275463,1,low,low,243
0.001516204,1,low,low,212
0.003240741,1,low,low,219
0.002280093,1,low,low,208
0.001157407,1,low,low,205
0.004085648,1,low,low,218
0.001157407,1,low,low,198
0.001666667,1,low,low,186
0.0015625,1,low,low,190
3.35648e-4,1,low,low,167
0.001516204,1,low,low,170
2.89352e-4,0.67000002,low,low,194
0.00125,1,low,low,172
0.004965278,1,low,low,171
0.001481481,1,low,low,163
0.0015625,1,low,low,152
0.001886574,0.92000002,low,low,151
0.002835648,1,low,low,182
0.00349537,1,low,low,158
0.001458333,1,low,low,129
9.375e-4,1,low,low,118
0.001574074,1,low,low,132
8.10185e-4,1,low,low,116
9.26e-5,1,low,low,138
9.83796e-4,1,low,low,114
0.002465278,1,low,low,125
0.005844907,1,low,low,119
3.7037e-4,0.75,low,low,92
0.004293981,1,low,low,143
0.004328704,1,low,low,136
4.28241e-4,1,low,low,82
6.48148e-4,1,low,low,86
0.002488426,1,low,low,84
0.003020833,1,low,low,106
1.73611e-4,0.17,low,low,290
0.004050926,0.5,low,low,80
2.31e-5,0.92000002,low,low,60
0.002418981,1,low,low,76
0.001921296,1,low,low,50
3.35648e-4,0.92000002,low,low,37
9.60648e-4,1,low,low,33
4.86111e-4,0.82999998,low,low,32
0.001030093,0.079999998,low,low,285
0.00380787,1,low,low,38
0.001516204,1,low,low,18
0.004872685,1,low,low,30
0.003356481,1,low,low,21
0.004953704,1,low,low,27
0.002141204,1,low,low,13
0.001226852,1,low,low,12
0.001736111,1,low,low,14
6.71296e-4,1,low,low,7
0.003009259,1,low,high,303
5.79e-5,0.92000002,low,high,286
0.003344907,1,low,high,280
5.90278e-4,1,low,high,261
5.32407e-4,1,low,high,255
2.5463e-4,0.57999998,low,high,248
0.004791667,1,low,high,279
0.002835648,1,low,high,272
0.001655093,1,low,high,274
0.002002315,0.92000002,low,high,247
0.005138889,1,low,high,266
0.00150463,1,low,high,238
1.16e-5,0.5,low,high,220
0.00181713,1,low,high,228
0.002013889,1,low,high,222
5.6713e-4,0.67000002,low,high,197
0.001516204,1,low,high,200
7.98611e-4,1,low,high,191
0.001909722,1,low,high,195
0.001585648,1,low,high,192
0.003935185,1,low,high,201
0.005439815,1,low,high,206
0.003761574,1,low,high,196
0.001469907,1,low,high,183
8.7963e-4,1,low,high,160
0.001655093,0.57999998,low,high,175
2.08333e-4,0.079999998,low,high,155
8.68056e-4,0.82999998,low,high,146
0.001296296,1,low,high,148
0.002997685,1,low,high,161
7.75463e-4,1,low,high,133
0.002708333,1,low,high,130
6.36574e-4,0.92000002,low,high,134
4.28241e-4,1,low,high,111
0.001030093,1,low,high,110
0.002118056,1,low,high,122
0.005196759,1,low,high,306
0.006018519,1,low,high,157
9.25926e-4,1,low,high,149
0.001354167,1,low,high,103
0.004409722,1,low,high,141
9.02778e-4,1,low,high,89
6.8287e-4,1,low,high,88
0.001296296,1,low,high,91
7.40741e-4,1,low,high,83
0.010902778,1,low,high,178
7.98611e-4,1,low,high,79
0.0025,1,low,high,77
9.49074e-4,1,low,high,69
0.00162037,1,low,high,70
7.75463e-4,1,low,high,46
9.25926e-4,1,low,high,57
0.002708333,1,low,high,56
0.004884259,1,low,high,71
3.35648e-4,0.25,low,high,44
0.003194444,1,low,high,53
0.002071759,1,low,high,42
0.00255787,1,low,high,39
0.003576389,1,low,high,45
0.00193287,1,low,high,29
6.59722e-4,0.92000002,low,high,26
0.003391204,1,low,high,78
3.47e-5,1,low,high,19
0.001898148,1,low,high,17
0.001678241,1,low,high,9
0.001354167,0.92000002,low,high,8
0.001875,1,low,high,1
2.5463e-4,0.079999998,high,low,72
0.001203704,1,high,low,298
0.001377315,1,high,low,281
0.001608796,1,high,low,288
0.001041667,1,high,low,275
0.002141204,0.92000002,high,low,282
0.001516204,0.92000002,high,low,271
0.001412037,1,high,low,265
0.001030093,1,high,low,263
4.97685e-4,1,high,low,252
0.002013889,1,high,low,256
0.001469907,1,high,low,251
0.001944444,1,high,low,258
0.001076389,1,high,low,242
0.005324074,0.41999999,high,low,304
3.93519e-4,1,high,low,233
0.001967593,1,high,low,241
0.002592593,1,high,low,249
0.015844907,1,high,low,283
9.72222e-4,1,high,low,236
0.001053241,1,high,low,229
0.00224537,1,high,low,226
0.002083333,1,high,low,224
0.002928241,1,high,low,239
0.001122685,1,high,low,211
5.43981e-4,1,high,low,213
1.62037e-4,0.33000001,high,low,199
6.94e-5,0.079999998,high,low,204
0.001215278,1,high,low,202
4.62963e-4,0.92000002,high,low,214
0.003715278,1,high,low,209
5.90278e-4,1,high,low,180
0.001053241,1,high,low,177
4.63e-5,0.67000002,high,low,169
4.62963e-4,0.5,high,low,174
0.001747685,1,high,low,162
0.001273148,0.92000002,high,low,159
9.375e-4,0.92000002,high,low,168
0.001099537,0.92000002,high,low,150
0.001469907,1,high,low,154
0.003159722,1,high,low,173
0.004907407,1,high,low,185
7.40741e-4,1,high,low,128
0.00275463,1,high,low,123
0.002384259,1,high,low,135
0.005358796,1,high,low,113
0.003912037,1,high,low,153
0.002581019,1,high,low,144
0.002002315,1,high,low,131
5.79e-5,0.92000002,high,low,105
0.0015625,1,high,low,108
0.001261574,1,high,low,104
0.0125,1,high,low,181
0.002106481,1,high,low,107
7.29167e-4,1,high,low,102
5.20833e-4,1,high,low,85
0.002407407,1,high,low,99
0.001018519,1,high,low,115
0.003263889,1,high,low,94
0.007662037,0.57999998,high,low,72
4.63e-5,0.92000002,high,low,75
0.001736111,1,high,low,67
0.001342593,1,high,low,68
1.38889e-4,0.67000002,high,low,55
0.001030093,1,high,low,59
0.001168981,1,high,low,61
0.001412037,1,high,low,54
0.001666667,1,high,low,48
0.001840278,1,high,low,58
0.001990741,0.92000002,high,low,47
2.5463e-4,0.33000001,high,low,35
1.15741e-4,1,high,low,52
0.001064815,0.079999998,high,low,26
0.002233796,1,high,low,28
0.001469907,1,high,low,25
0.001435185,1,high,low,22
0.00275463,1,high,low,24
0.001053241,1,high,low,4
0.001886574,1,high,low,5
2.19907e-4,0.57999998,high,low,2
0.002835648,1,high,low,3
