Types of investment,Age,Sex,Ethnicity simplified,Country of residence,Nationality,Employment status,ID
"Stock Market, Crowdfunding",57,Female,White,United Kingdom,United Kingdom,"Not in paid work (e.g. homemaker', 'retired or disabled)",3
Crowdfunding,38,Female,White,United Kingdom,Poland,Part-Time,1
"Crowdfunding, Stock Market",32,Male,White,United Kingdom,United Kingdom,Full-Time,2
"Private Equity fund, ETF or ETC, Stock Market, Government Bonds",31,Female,Asian,United Kingdom,United Kingdom,Full-Time,5
"ETF or ETC, Stock Market, Options, Private Equity fund, Venture Capital fund",43,Male,White,United States,United States,Full-Time,4
"Stock Market, Crowdfunding",53,Male,White,Germany,Germany,Full-Time,9
"Government Bonds, Stock Market, Crowdfunding",30,Female,White,United States,United States,NA,8
"ETF or ETC, Stock Market, Crowdfunding",42,Male,White,Germany,Germany,Full-Time,7
"Stock Market, Crowdfunding, Private Equity fund",25,Female,Asian,United Kingdom,United Kingdom,Full-Time,6
"Crowdfunding, Stock Market",48,Female,Asian,United Kingdom,United Kingdom,NA,14
"Stock Market, Crowdfunding",22,Male,White,United Kingdom,Ireland,"Not in paid work (e.g. homemaker', 'retired or disabled)",12
"Government Bonds, Stock Market, Crowdfunding",39,Female,White,United Kingdom,United Kingdom,Other,11
"ETF or ETC, Government Bonds, Stock Market, Options, Private Equity fund, Venture Capital fund",29,Female,White,Canada,Canada,Full-Time,10
"Stock Market, Government Bonds, Options, Crowdfunding, ETF or ETC",64,Male,Black,United States,United States,NA,27
"Stock Market, Crowdfunding",35,Male,White,United Kingdom,United Kingdom,Full-Time,13
"ETF or ETC, Stock Market, Crowdfunding, Options",24,Male,White,United Kingdom,United Kingdom,"Not in paid work (e.g. homemaker', 'retired or disabled)",15
"Government Bonds, ETF or ETC, Stock Market, Unit trusts, Crowdfunding",50,Female,White,United Kingdom,United Kingdom,NA,21
"ETF or ETC, Government Bonds, Stock Market, Crowdfunding",29,Male,White,United Kingdom,United Kingdom,Full-Time,17
"Stock Market, Private Equity fund",54,Female,White,United Kingdom,United Kingdom,"Not in paid work (e.g. homemaker', 'retired or disabled)",16
"Stock Market, Private Equity fund",70,Male,White,United Kingdom,United Kingdom,"Not in paid work (e.g. homemaker', 'retired or disabled)",30
Private Equity fund,49,Female,White,United Kingdom,United Kingdom,NA,19
"Stock Market, Crowdfunding",35,Female,White,United Kingdom,United Kingdom,Full-Time,18
Crowdfunding,42,Female,White,Canada,Canada,Full-Time,78
"ETF or ETC, Stock Market, Crowdfunding",30,Male,Mixed,Canada,Canada,Full-Time,24
"Stock Market, Crowdfunding, Government Bonds",37,Female,Black,United States,Nigeria,Part-Time,23
"Stock Market, Private Equity fund",25,Male,White,United Kingdom,Lebanon,Full-Time,22
"Stock Market, Options, Venture Capital fund",42,Male,White,Canada,Canada,Full-Time,32
NA,NA,NA,NA,NA,NA,NA,20
"ETF or ETC, Government Bonds, Stock Market, Options, Private Equity fund, Crowdfunding",59,Female,White,United Kingdom,United Kingdom,NA,34
"Government Bonds, Crowdfunding",37,Male,White,United Kingdom,United Kingdom,Full-Time,25
Crowdfunding,55,Male,White,United Kingdom,United Kingdom,Full-Time,40
"Stock Market, ETF or ETC, Private Equity fund, Government Bonds",55,Male,White,Canada,Canada,Full-Time,45
"ETF or ETC, Government Bonds, Stock Market, Private Equity fund",34,Female,Asian,Canada,Canada,Full-Time,38
"ETF or ETC, Stock Market, Government Bonds, Private Equity fund, Venture Capital fund, Crowdfunding",37,Male,White,France,France,Full-Time,28
"Stock Market, Crowdfunding",52,Female,White,United Kingdom,United Kingdom,Full-Time,29
"ETF or ETC, Government Bonds, Stock Market, Unit trusts, Options, Crowdfunding, Other",42,Male,White,United Kingdom,United Kingdom,Full-Time,26
"Government Bonds, ETF or ETC, Private Equity fund",27,Female,White,United Kingdom,United Kingdom,Full-Time,36
"ETF or ETC, Government Bonds, Stock Market, Private Equity fund, Crowdfunding, Venture Capital fund",33,Male,White,United Kingdom,NA,NA,33
"Crowdfunding, Stock Market",38,Female,White,United Kingdom,United Kingdom,Unemployed (and job seeking),39
"Stock Market, Crowdfunding, Other",57,Female,White,United Kingdom,United Kingdom,"Not in paid work (e.g. homemaker', 'retired or disabled)",41
