IPAddress,Duration (in seconds),Finished,RecordedDate,ResponseId,consent,ID,browser_info_Resolution,timer_pitch_deck_First Click,timer_pitch_deck_Last Click,timer_pitch_deck_Page Submit,timer_pitch_deck_Click Count,timer_mc_quality_First Click,timer_mc_quality_Last Click,timer_mc_quality_Page Submit,timer_mc_quality_Click Count,invest_prob_1,cvpa_v_1,cvpa_v_2,cvpa_v_3,cvpa_v_4,cvpa_a_1,cvpa_a_2,cvpa_a_3,cvpa_a_4,cvpa_r_1,cvpa_r_2,cvpa_r_3,age,gender,invest_experience,attention_check,attention_check_99_TEXT,comprehension_check,PROLIFIC_PID,fluency_condition,quality_condition,device
1,395,TRUE,2022-11-30T14:17:46Z,R_1Nb5ggkfCqvQ9By,yes,1,360x800,3.143,16.815,233.349,2,6.305,6.305,6.879,1,100,Strongly disagree,Agree,Strongly disagree,Strongly disagree,Agree,Disagree,Disagree,Agree,Agree,Agree,Strongly disagree,38,Female,2,Other,I have read this text carefully,HR technology,1,low,high,mobile
2,259,TRUE,2022-11-30T14:18:15Z,R_D6JYoXys03SGHlf,yes,2,1920x1080,104.477,104.477,106.856,1,42.469,43.233,44.039,2,10,Neither agree nor disagree,Neither agree nor disagree,Agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Strongly disagree,Neither agree nor disagree,Neither agree nor disagree,Disagree,Agree,32,Male,1,Other,I have read this text carefully,HR technology,2,high,low,NA
3,481,TRUE,2022-11-30T14:18:34Z,R_a9qnS4NRFPptNrH,yes,3,414x896,6.189,15.731,270.975,2,8.774,8.774,9.477,1,15,Strongly agree,Strongly agree,Strongly agree,Agree,Strongly agree,Agree,Strongly agree,Strongly agree,Strongly agree,Agree,Strongly agree,57,Female,0,Other,"I have read this text carefully 

",HR technology,3,high,low,mobile
4,184,TRUE,2022-11-30T14:22:42Z,R_ctZjJ79mRowkFC9,yes,4,1616x909,10.314,10.314,105.441,1,2.149,5.806,6.61,2,83,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,43,Male,5,Other,I have read this text carefully,HR technology,4,high,low,NA
5,271,TRUE,2022-11-30T14:23:06Z,R_3lzfjkaphamOtz6,yes,5,1536x864,6.332,6.332,178.901,1,5.483,5.483,6.995,1,22,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,31,Female,2,Other,I have read this text carefully,HR technology,5,high,low,NA
6,86,TRUE,2022-11-30T14:26:43Z,R_3JCTJRTYlmrEjVg,yes,6,1536x864,4.36,4.36,11.799,1,4.3,8.644,9.905,6,58,Disagree,Neither agree nor disagree,Agree,Neither agree nor disagree,Neither agree nor disagree,Disagree,Agree,Neither agree nor disagree,Agree,Agree,Agree,25,Female,2,2-3 times a week,NA,HR technology,6,high,high,NA
7,179,TRUE,2022-11-30T14:26:46Z,R_2VkjspcDxDlOdLL,yes,7,1920x1080,6.076,6.076,69.652,1,6.508,6.508,7.455,1,5,Neither agree nor disagree,Agree,Neither agree nor disagree,Agree,Strongly disagree,Strongly disagree,Disagree,Disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,42,Male,0,Never,NA,HR technology,7,low,low,NA
8,228,TRUE,2022-11-30T14:27:02Z,R_AEQsI0GaTkOYTlf,yes,8,1920x1080,9.144,9.144,138.041,1,3.268,3.268,3.957,1,73,Agree,Agree,Neither agree nor disagree,Agree,Neither agree nor disagree,Agree,Agree,Agree,Agree,Agree,Agree,30,Female,1,Other,I have read this text carefully,HR technology,8,low,high,NA
9,336,TRUE,2022-11-30T14:28:56Z,R_xl6c9TyrHJuF2tX,yes,9,1920x1080,22.021,22.021,190.914,1,3.811,3.811,4.719,1,0,Agree,Agree,Agree,Agree,Agree,Neither agree nor disagree,Agree,Agree,Agree,Agree,Agree,53,Male,2,Other,I have read this text carefully,HR technology,9,low,high,NA
10,151,TRUE,2022-11-30T14:30:28Z,R_1IoWO3COYx3W9ID,yes,10,1440x900,5.222,5.222,80.694,1,1.909,1.909,3.267,1,51,Agree,Neither agree nor disagree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Neither agree nor disagree,Neither agree nor disagree,29,Female,2,Other,NA,HR technology,10,high,high,NA
