Types of investment,Age,Sex,Ethnicity simplified,Country of residence,Nationality,Employment status,ID
"ETF or ETC, Government Bonds, Stock Market, Crowdfunding",24,Male,Mixed,United Kingdom,United Kingdom,"Not in paid work (e.g. homemaker', 'retired or disabled)",2
NA,NA,NA,NA,NA,NA,NA,1
"Government Bonds, Crowdfunding",39,Female,White,United Kingdom,United Kingdom,Full-Time,8
"Stock Market, Crowdfunding, Other",33,Male,White,France,France,Full-Time,3
"ETF or ETC, Government Bonds, Stock Market, Unit trusts, Crowdfunding, Angel syndicate",41,Male,White,Canada,Canada,Part-Time,4
"Crowdfunding, Other",31,Male,White,United Kingdom,United Kingdom,Full-Time,5
"Stock Market, Unit trusts, Private Equity fund",64,Female,White,United Kingdom,United Kingdom,Full-Time,7
"Stock Market, Crowdfunding",65,Male,White,United Kingdom,United Kingdom,"Not in paid work (e.g. homemaker', 'retired or disabled)",19
NA,NA,NA,NA,NA,NA,NA,6
"ETF or ETC, Stock Market, Private Equity fund, Venture Capital fund",27,Male,White,United Kingdom,United Kingdom,Full-Time,16
"Venture Capital fund, Private Equity fund, Stock Market",36,Male,White,United Kingdom,United Kingdom,NA,9
"ETF or ETC, Crowdfunding, Stock Market",36,Male,White,United Kingdom,United Kingdom,Full-Time,11
"Stock Market, Crowdfunding",39,Male,Black,United Kingdom,United Kingdom,NA,10
"Stock Market, Private Equity fund",63,Male,White,United Kingdom,United Kingdom,Part-Time,15
"ETF or ETC, Crowdfunding",24,Male,White,United Kingdom,United Kingdom,Full-Time,12
NA,NA,NA,NA,NA,NA,NA,43
"Stock Market, Private Equity fund, Crowdfunding",52,Female,White,United Kingdom,United Kingdom,Full-Time,13
"Government Bonds, Stock Market, Unit trusts, Angel syndicate, Options, Private Equity fund, Venture Capital fund, ETF or ETC",55,Male,White,United Kingdom,United Kingdom,Full-Time,14
"ETF or ETC, Government Bonds, Stock Market, Private Equity fund, Crowdfunding, Venture Capital fund",26,Male,White,United Kingdom,United Kingdom,Full-Time,17
"Stock Market, Crowdfunding",45,Male,White,United Kingdom,United Kingdom,NA,18
"Private Equity fund, Stock Market",68,Male,White,United Kingdom,United Kingdom,"Not in paid work (e.g. homemaker', 'retired or disabled)",20
"ETF or ETC, Government Bonds, Stock Market, Unit trusts, Crowdfunding",66,Male,White,United Kingdom,United Kingdom,"Not in paid work (e.g. homemaker', 'retired or disabled)",23
"ETF or ETC, Government Bonds, Stock Market, Unit trusts, Crowdfunding",41,Male,Other,Canada,Canada,NA,36
"ETF or ETC, Stock Market, Crowdfunding",39,Female,White,United Kingdom,Poland,Full-Time,24
"Stock Market, Crowdfunding, ETF or ETC",28,Male,Asian,United Kingdom,United Kingdom,Full-Time,21
"Stock Market, Unit trusts, Crowdfunding",66,Male,White,United Kingdom,United Kingdom,"Not in paid work (e.g. homemaker', 'retired or disabled)",22
"Stock Market, Crowdfunding",51,Female,White,United Kingdom,United Kingdom,NA,25
"Stock Market, Unit trusts, Crowdfunding",69,Male,White,United Kingdom,United Kingdom,"Not in paid work (e.g. homemaker', 'retired or disabled)",38
"Stock Market, Unit trusts, Options, Government Bonds, Crowdfunding",38,Male,White,United Kingdom,United Kingdom,NA,29
"ETF or ETC, Government Bonds, Stock Market, Unit trusts, Options, Private Equity fund",39,Male,White,United Kingdom,United Kingdom,Full-Time,26
"ETF or ETC, Stock Market, Unit trusts, Crowdfunding",34,Female,Asian,United Kingdom,Singapore,Full-Time,28
"Stock Market, Unit trusts, Private Equity fund",64,Male,White,United Kingdom,United Kingdom,Full-Time,31
"Stock Market, Crowdfunding, Government Bonds",39,Male,White,United Kingdom,United Kingdom,Full-Time,32
"ETF or ETC, Stock Market, Unit trusts, Crowdfunding",34,Male,White,United Kingdom,United Kingdom,Full-Time,30
"Crowdfunding, Stock Market",22,Male,White,United Kingdom,United Kingdom,Part-Time,27
Crowdfunding,50,Male,Other,United States,United States,Full-Time,37
Crowdfunding,36,Male,White,United Kingdom,United Kingdom,Full-Time,34
"ETF or ETC, Government Bonds, Stock Market, Venture Capital fund, Private Equity fund, Crowdfunding",25,Male,White,United Kingdom,United Kingdom,NA,56
"Unit trusts, Crowdfunding, Other",58,Male,White,United Kingdom,United Kingdom,NA,42
"Government Bonds, Stock Market, Unit trusts, Private Equity fund",64,Female,White,United Kingdom,United Kingdom,Part-Time,44
"Stock Market, Crowdfunding",28,Male,White,United Kingdom,United Kingdom,"Not in paid work (e.g. homemaker', 'retired or disabled)",33
"ETF or ETC, Stock Market, Unit trusts, Crowdfunding",52,Female,White,United Kingdom,United Kingdom,Full-Time,41
"Stock Market, Crowdfunding",23,Male,White,United Kingdom,Bulgaria,Part-Time,49
"ETF or ETC, Government Bonds, Stock Market, Private Equity fund",29,Female,Asian,United States,China,Full-Time,35
NA,NA,NA,NA,NA,NA,NA,39
"Stock Market, Unit trusts, Crowdfunding",68,Female,White,United Kingdom,United Kingdom,"Not in paid work (e.g. homemaker', 'retired or disabled)",55
"Stock Market, Crowdfunding",41,Female,Black,United Kingdom,United Kingdom,Full-Time,52
"ETF or ETC, Crowdfunding, Other",37,Male,White,United Kingdom,Italy,Full-Time,40
"Stock Market, Private Equity fund",53,Female,White,United Kingdom,United Kingdom,Part-Time,54
"Government Bonds, Stock Market, Unit trusts, Private Equity fund, Venture Capital fund, Other",65,Male,White,United Kingdom,United Kingdom,Full-Time,47
"ETF or ETC, Government Bonds, Stock Market, Unit trusts, Private Equity fund",47,Male,White,United Kingdom,United Kingdom,Full-Time,48
"Government Bonds, Stock Market, Unit trusts, Options, Crowdfunding, Other",51,Male,White,United Kingdom,United Kingdom,Full-Time,58
"Private Equity fund, Crowdfunding, Stock Market, Government Bonds",57,Female,White,United Kingdom,United Kingdom,Full-Time,51
