IPAddress,Duration (in seconds),Finished,RecordedDate,ResponseId,consent,ID,browser_info_Resolution,timer_pitch_deck_First Click,timer_pitch_deck_Last Click,timer_pitch_deck_Page Submit,timer_pitch_deck_Click Count,invest_prob_1,fluency_1,quality,cvpa_v_1,cvpa_v_2,cvpa_v_3,cvpa_v_4,cvpa_a_1,cvpa_a_2,cvpa_a_3,cvpa_a_4,cvpa_r_1,cvpa_r_2,cvpa_r_3,age,gender,invest_experience,attention_check,attention_check_99_TEXT,comprehension_check,PROLIFIC_PID,fluency_condition,quality_condition,device
1,560,TRUE,2022-12-21T14:19:35Z,R_1mwqjyBKMcUNYmo,yes,1,1440x900,34.185,34.185,339.913,1,90,89,6,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Agree,Agree,Agree,Agree,Strongly agree,Agree,Agree,Agree,71,Male,12,Other,I have read this text carefully.,Medical innovation,1,low,high,NA
2,227,TRUE,2022-12-21T14:23:19Z,R_3jSBw68YP5P1SyS,yes,2,1920x1080,0.543,24.995,97.171,38,56,77,5,Disagree,Neither agree nor disagree,Agree,Neither agree nor disagree,Disagree,Disagree,Agree,Disagree,Agree,Strongly disagree,Strongly disagree,33,Male,0,Other,'I have read this text carefully,Medical innovation,2,high,low,NA
3,314,TRUE,2022-12-21T14:23:37Z,R_3kdMvHIfzuOjSQP,yes,3,1536x864,11.103,17.075,156.28,2,24,0,4,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Agree,Strongly agree,Agree,Agree,Strongly agree,Agree,Agree,62,Female,0,Other,I have read this text carefully,Medical innovation,3,low,low,NA
4,429,TRUE,2022-12-21T14:23:46Z,R_1DMhPIddmKzLNJ9,yes,4,1200x800,9.092,14.477,250.459,3,71,77,5,Agree,Agree,Agree,Strongly agree,Neither agree nor disagree,Neither agree nor disagree,Agree,Neither agree nor disagree,Agree,Neither agree nor disagree,Agree,40,Female,0,Other,I have read this text carefully,Medical innovation,4,high,low,NA
5,335,TRUE,2022-12-21T14:28:46Z,R_2q3pAytEDfI4oB6,yes,5,1536x864,6.715,6.715,152.251,1,72,82,5,Agree,Strongly agree,Strongly agree,Strongly agree,Agree,Disagree,Agree,Agree,Strongly agree,Strongly agree,Strongly agree,25,Female,0,Other,I have read this text carefully,Medical innovation,5,high,low,NA
6,494,TRUE,2022-12-21T14:29:59Z,R_2xJE1nmP93NjWC1,yes,6,1920x1080,12.187,12.187,310.565,1,0,66,4,Agree,Agree,Neither agree nor disagree,Agree,Neither agree nor disagree,Neither agree nor disagree,Agree,Neither agree nor disagree,Agree,Disagree,Disagree,43,Male,8,Other,I have read this text carefully,Medical innovation,6,high,high,NA
7,495,TRUE,2022-12-21T14:33:27Z,R_XRtxt9O5QUgcpFf,yes,7,414x896,7.974,383.963,384.565,2,30,67,5,Disagree,Disagree,Neither agree nor disagree,Agree,Disagree,Strongly disagree,Disagree,Neither agree nor disagree,Agree,Strongly disagree,Disagree,28,Female,5,Other,I have read this text carefully,Medical innovation,7,high,low,mobile
8,195,TRUE,2022-12-21T14:33:29Z,R_2bPsbMDK7cEUKUV,yes,8,2560x1440,3.917,3.917,113.439,1,59,35,5,Agree,Neither agree nor disagree,Neither agree nor disagree,Agree,Agree,Neither agree nor disagree,Agree,Agree,Agree,Agree,Neither agree nor disagree,42,Male,3,Every day,NA,Medical innovation,8,high,high,NA
9,196,TRUE,2022-12-21T14:36:38Z,R_PB9gzppN3qZZiq5,yes,9,412x915,7.431,7.431,23.943,1,69,18,5,Agree,Strongly agree,Strongly agree,Agree,Neither agree nor disagree,Agree,Strongly agree,Agree,Strongly agree,Agree,Agree,25,Male,2,Other,I have read this text carefully,Medical innovation,9,high,low,mobile
10,290,TRUE,2022-12-21T14:36:56Z,R_3sctKvp3BRtTiqp,yes,10,1536x864,8.422,8.422,160.236,1,90,48,6,Neither agree nor disagree,Agree,Agree,Agree,Neither agree nor disagree,Neither agree nor disagree,Agree,Agree,Agree,Neither agree nor disagree,Neither agree nor disagree,39,Male,0,Other,I have read this text carefully,Medical innovation,10,low,high,NA
11,600,TRUE,2022-12-21T14:39:06Z,R_1Q4VJ9HJAMHeoF8,yes,11,768x1024,14.316,14.316,392.851,1,75,100,6,Neither agree nor disagree,Agree,Agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Agree,Agree,Agree,Neither agree nor disagree,Neither agree nor disagree,46,Female,1,Other,I have read this text carefully,Medical innovation,11,high,high,mobile
12,189,TRUE,2022-12-21T14:39:56Z,R_1QA9cwPDpZlCGUy,yes,12,390x844,0.307,4.626,79.263,3,50,22,6,Neither agree nor disagree,Agree,Agree,Neither agree nor disagree,Disagree,Disagree,Agree,Agree,Agree,Disagree,Neither agree nor disagree,25,Male,0,Other,I have read this text carefully.,Medical innovation,12,low,high,mobile
13,651,TRUE,2022-12-21T14:40:56Z,R_2fHBfEZiUqUSb5b,yes,13,1440x900,14.268,14.268,320.439,1,20,58,5,Neither agree nor disagree,Agree,Agree,Agree,Neither agree nor disagree,Neither agree nor disagree,Agree,Agree,Agree,Agree,Agree,43,Female,1,Other,I have read this text carefully.,Medical innovation,13,low,low,NA
14,198,TRUE,2022-12-21T14:41:33Z,R_3fVv4J3d5upQsQ5,yes,14,1920x1080,8.511,81.608,84.165,2,40,100,5,Neither agree nor disagree,Strongly agree,Agree,Agree,Agree,Neither agree nor disagree,Agree,Agree,Agree,Neither agree nor disagree,Neither agree nor disagree,44,Male,7,Other,I have read this text carefully,Medical innovation,14,low,low,NA
15,133,TRUE,2022-12-21T14:43:02Z,R_3kq9KSpByX4MZ5F,yes,15,1920x1080,4.601,5.074,59.252,2,70,88,5,Agree,Strongly agree,Strongly agree,Neither agree nor disagree,Agree,Agree,Strongly disagree,Neither agree nor disagree,Neither agree nor disagree,Agree,Agree,33,Male,6,Other,I have read this text carefully,Medical innovation,15,low,low,NA
16,476,TRUE,2022-12-21T14:43:15Z,R_UmtZzCeLoQx4klH,yes,16,1536x864,20.312,20.312,309.204,1,60,80,6,Agree,Agree,Agree,Neither agree nor disagree,Agree,Neither agree nor disagree,Agree,Agree,Agree,Neither agree nor disagree,Neither agree nor disagree,36,Male,0,Other,I have read this text carefully,Medical innovation,16,high,high,NA
17,221,TRUE,2022-12-21T14:43:50Z,R_OCZ7dDxXD9WhOal,yes,17,1504x1003,3.383,3.383,75.108,1,29,29,3,Agree,Neither agree nor disagree,Agree,Disagree,Agree,Disagree,Agree,Disagree,Agree,Agree,Agree,35,Female,3,Other,I have read this text carefully,Medical innovation,17,low,high,NA
18,202,TRUE,2022-12-21T14:43:54Z,R_3NIja3ziZbYIf2e,yes,18,414x896,6.648,110.503,111.154,3,15,52,5,Agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Disagree,Neither agree nor disagree,Disagree,Agree,Disagree,Neither agree nor disagree,Disagree,27,Male,5,Once a week,NA,Medical innovation,18,low,low,mobile
19,593,TRUE,2022-12-21T14:44:21Z,R_yDPGe1LmM3sMGRz,yes,19,1536x960,13.946,13.946,458.704,1,72,62,4,Agree,Neither agree nor disagree,Agree,Agree,Agree,Neither agree nor disagree,Agree,Neither agree nor disagree,Agree,Neither agree nor disagree,Agree,35,Male,4,Other,I have read this text carefully,Medical innovation,19,high,low,NA
20,1322,TRUE,2022-12-21T14:45:21Z,R_2Tw9hk96m0CAaRm,yes,20,375x667,2.061,10.734,249.592,2,50,31,4,Neither agree nor disagree,Agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Disagree,Neither agree nor disagree,Agree,Agree,Agree,57,Female,1,2-3 times a week,NA,Medical innovation,20,low,high,mobile
21,491,TRUE,2022-12-21T14:45:39Z,R_1DY9UFOpvZxTPMC,yes,21,1280x720,5.805,5.805,180.656,1,30,24,3,Agree,Strongly agree,Agree,Agree,Strongly disagree,Disagree,Strongly agree,Strongly disagree,Strongly agree,Disagree,Disagree,37,Male,2,Other,I have read this text carefully,Medical innovation,21,low,low,NA
