Duration (in seconds),Finished,RecordedDate,content,design,relative_1,gender ,age,inv_exp
47,TRUE,2024-10-21T12:57:27Z,7,6,76,Male,58,20
37,TRUE,2024-10-21T13:00:58Z,6,6,35,Female,24,1
37,TRUE,2024-10-21T13:02:52Z,7,7,80,Male,32,0
41,TRUE,2024-10-21T13:05:17Z,7,6,100,Male,24,3
118,TRUE,2024-10-21T13:06:13Z,6,5,77,Male,32,5
23,TRUE,2024-10-21T13:06:58Z,6,5,95,Male,39,20
24,TRUE,2024-10-21T13:07:22Z,6,6,60,Male,28,1
71,TRUE,2024-10-21T13:08:07Z,6,6,86,Female,24,3
73,TRUE,2024-10-21T13:10:58Z,5,2,77,Female,19,0
38,TRUE,2024-10-21T13:11:04Z,7,4,100,Male,24,1
46,TRUE,2024-10-21T13:12:38Z,6,6,49,Female,25,2
83,TRUE,2024-10-21T13:13:03Z,6,7,21,Male,54,12
75,TRUE,2024-10-21T13:13:45Z,7,6,93,Male,32,2
177,TRUE,2024-10-21T13:13:57Z,7,6,79,Female,32,3
61,TRUE,2024-10-21T13:14:01Z,6,6,19,Female,33,5
42,TRUE,2024-10-21T13:14:46Z,6,7,75,Female,23,4
312,TRUE,2024-10-21T13:14:51Z,7,4,100,Female,43,5
32,TRUE,2024-10-21T13:14:57Z,5,5,75,Male,45,2
19,TRUE,2024-10-21T13:14:58Z,6,6,92,Male,27,5
64,TRUE,2024-10-21T13:14:59Z,7,7,0,Female,25,5
56,TRUE,2024-10-21T13:16:45Z,6,6,42,Female,23,1
56,TRUE,2024-10-21T13:16:58Z,6,5,72,Male,26,2
40,TRUE,2024-10-21T13:17:33Z,7,6,73,Male,58,10
75,TRUE,2024-10-21T13:18:29Z,7,6,54,Female,36,8
113,TRUE,2024-10-21T13:19:08Z,7,6,100,Female,27,4
78,TRUE,2024-10-21T13:19:20Z,6,5,88,Male,32,3
50,TRUE,2024-10-21T13:19:21Z,6,5,37,Male,40,12
83,TRUE,2024-10-21T13:19:22Z,7,4,100,Male,40,14
263,TRUE,2024-10-21T13:19:22Z,6,7,52,Male,28,2
31,TRUE,2024-10-21T13:19:46Z,7,6,94,Female,21,2
37,TRUE,2024-10-21T13:20:57Z,6,5,72,Male,33,2
38,TRUE,2024-10-21T13:21:14Z,7,5,100,Female,32,0
16,TRUE,2024-10-21T13:22:22Z,5,3,65,Male,27,4
85,TRUE,2024-10-21T13:22:40Z,7,7,85,Female,28,2
87,TRUE,2024-10-21T13:23:02Z,7,7,51,Male,38,5
25,TRUE,2024-10-21T13:23:03Z,6,6,50,Female,42,1
229,TRUE,2024-10-21T13:23:32Z,7,7,100,Female,30,3
33,TRUE,2024-10-21T13:23:34Z,6,7,24,Male,39,5
164,TRUE,2024-10-21T13:23:35Z,6,5,62,Male,30,0
74,TRUE,2024-10-21T13:23:59Z,6,6,71,Male,18,0
49,TRUE,2024-10-21T13:25:02Z,7,6,100,Female,50,5
38,TRUE,2024-10-21T13:25:07Z,7,6,76,Male,27,2
43,TRUE,2024-10-21T13:25:11Z,6,7,77,Male,42,15
39,TRUE,2024-10-21T13:25:46Z,6,5,72,Male,28,2
29,TRUE,2024-10-21T13:25:59Z,7,7,60,Male,35,6
137,TRUE,2024-10-21T13:26:11Z,6,6,71,Female,24,4
218,TRUE,2024-10-21T13:27:15Z,6,5,73,Male,21,1
135,TRUE,2024-10-21T13:27:23Z,7,6,97,Female,30,3
70,TRUE,2024-10-21T13:27:24Z,7,7,61,Female,26,3
20,TRUE,2024-10-21T13:27:42Z,6,6,68,Male,38,3
81,TRUE,2024-10-21T13:28:17Z,7,5,100,Male,42,14
73,TRUE,2024-10-21T13:28:18Z,7,7,50,Male,27,5
42,TRUE,2024-10-21T13:28:20Z,6,6,63,Female,25,0
34,TRUE,2024-10-21T13:29:37Z,7,7,100,Female,30,8
260,TRUE,2024-10-21T13:30:33Z,7,7,54,Male,32,8
84,TRUE,2024-10-21T13:31:34Z,6,7,45,Male,37,5
41,TRUE,2024-10-21T13:31:50Z,7,6,98,Male,27,1
46,TRUE,2024-10-21T13:32:03Z,6,6,85,Female,24,1
29,TRUE,2024-10-21T13:33:05Z,6,6,76,Female,35,2
518,TRUE,2024-10-21T13:33:26Z,6,7,100,Male,22,2
100,TRUE,2024-10-21T13:33:34Z,7,6,76,Male,53,10
591,TRUE,2024-10-21T13:34:29Z,7,6,100,Female,34,3
72,TRUE,2024-10-21T13:36:06Z,7,6,96,Prefer not to say,36,7
42,TRUE,2024-10-21T13:36:17Z,5,4,84,Male,29,5
56,TRUE,2024-10-21T13:37:25Z,6,6,69,Male,34,4
40,TRUE,2024-10-21T13:37:35Z,6,7,80,Male,30,2
72,TRUE,2024-10-21T13:38:23Z,7,6,85,Male,24,1
44,TRUE,2024-10-21T13:38:50Z,6,5,94,Female,46,15
41,TRUE,2024-10-21T13:39:01Z,7,6,100,Male,29,3
48,TRUE,2024-10-21T13:39:50Z,7,7,77,Male,33,10
47,TRUE,2024-10-21T13:41:00Z,7,5,84,Male,73,20
48,TRUE,2024-10-21T13:41:00Z,7,6,100,Female,39,3
59,TRUE,2024-10-21T13:42:04Z,6,5,54,Male,23,3
146,TRUE,2024-10-21T13:42:12Z,6,7,41,Male,40,8
129,TRUE,2024-10-21T13:42:34Z,7,7,92,Female,41,2
40,TRUE,2024-10-21T13:42:39Z,6,5,81,Male,31,8
43,TRUE,2024-10-21T13:42:49Z,6,7,98,Male,29,2
122,TRUE,2024-10-21T13:44:14Z,6,6,92,Male,23,2
54,TRUE,2024-10-21T13:44:48Z,5,5,69,Male,63,25
62,TRUE,2024-10-21T13:45:26Z,7,7,100,Male,22,3
49,TRUE,2024-10-21T13:46:27Z,7,6,4,Male,22,2
53,TRUE,2024-10-21T13:46:31Z,6,6,79,Male,63,30
19,TRUE,2024-10-21T13:46:35Z,5,2,91,Male,29,3
32,TRUE,2024-10-21T13:46:53Z,7,6,100,Male,63,25
71,TRUE,2024-10-21T13:47:00Z,6,6,77,Male,55,5
18,TRUE,2024-10-21T13:47:05Z,3,4,68,Female,25,3
85,TRUE,2024-10-21T13:47:06Z,6,4,86,Female,38,3
49,TRUE,2024-10-21T13:47:11Z,5,5,89,Female,31,2
13,TRUE,2024-10-21T13:47:22Z,6,6,100,Female,26,6
28,TRUE,2024-10-21T13:47:58Z,6,6,81,Male,49,5
50,TRUE,2024-10-21T13:48:20Z,7,6,100,Female,25,4
122,TRUE,2024-10-21T13:49:07Z,7,6,100,Male,40,12
209,TRUE,2024-10-21T13:49:07Z,7,7,100,Female,27,7
21,TRUE,2024-10-21T13:49:14Z,7,6,91,Female,36,7
70,TRUE,2024-10-21T13:49:31Z,5,5,24,Female,32,5
28,TRUE,2024-10-21T13:50:20Z,6,6,94,Male,62,20
25,TRUE,2024-10-21T13:50:21Z,6,4,74,Male,37,5
29,TRUE,2024-10-21T13:50:44Z,4,5,73,Male,33,5
31,TRUE,2024-10-21T13:51:05Z,6,5,79,Female,63,5
950,TRUE,2024-10-21T13:51:46Z,6,5,93,Male,28,3
48,TRUE,2024-10-21T13:51:50Z,7,7,83,Female,35,4
86,TRUE,2024-10-21T13:52:09Z,7,6,91,Male,55,5
20,TRUE,2024-10-21T13:52:10Z,7,5,86,Male,31,4
33,TRUE,2024-10-21T13:52:17Z,7,7,82,Male,43,1
79,TRUE,2024-10-21T13:52:19Z,6,6,80,Female,24,5
83,TRUE,2024-10-21T13:52:25Z,6,6,96,Female,21,4
64,TRUE,2024-10-21T13:52:36Z,5,5,87,Female,31,5
162,TRUE,2024-10-21T13:52:55Z,7,6,69,Male,43,9
87,TRUE,2024-10-21T13:53:10Z,6,6,74,Male,26,5
40,TRUE,2024-10-21T13:53:20Z,6,7,55,Male,46,2
39,TRUE,2024-10-21T13:53:29Z,7,6,82,Male,44,1
49,TRUE,2024-10-21T13:53:44Z,6,6,65,Male,58,3
25,TRUE,2024-10-21T13:54:48Z,6,7,72,Male,38,12
84,TRUE,2024-10-21T13:55:29Z,7,7,100,Male,26,4
18,TRUE,2024-10-21T13:55:51Z,5,4,79,Male,44,15
70,TRUE,2024-10-21T13:55:55Z,6,6,19,Male,62,10
56,TRUE,2024-10-21T13:56:38Z,7,6,100,Male,35,6
52,TRUE,2024-10-21T13:58:21Z,7,7,71,Female,39,4
53,TRUE,2024-10-21T13:58:34Z,7,6,100,Male,49,4
51,TRUE,2024-10-21T13:59:54Z,7,6,63,Male,38,7
73,TRUE,2024-10-21T14:00:33Z,7,7,84,Female,45,5
23,TRUE,2024-10-21T14:00:42Z,6,4,100,Male,28,6
96,TRUE,2024-10-21T14:00:58Z,7,6,83,Male,69,6
23,TRUE,2024-10-21T14:01:17Z,6,7,62,Male,35,2
106,TRUE,2024-10-21T14:02:24Z,5,4,41,Female,28,6
63,TRUE,2024-10-21T14:04:24Z,5,7,64,Male,19,2
34,TRUE,2024-10-21T14:04:31Z,7,6,100,Male,20,1
21,TRUE,2024-10-21T14:04:39Z,7,7,25,Male,36,2
55,TRUE,2024-10-21T14:04:41Z,6,5,85,Male,21,3
64,TRUE,2024-10-21T14:04:43Z,7,6,50,Male,64,20
41,TRUE,2024-10-21T14:04:48Z,5,2,100,Male,48,12
63,TRUE,2024-10-21T14:08:19Z,6,6,55,Female,42,0
55,TRUE,2024-10-21T14:08:23Z,6,4,78,Female,23,2
132,TRUE,2024-10-21T14:08:26Z,7,7,71,Female,21,4
43,TRUE,2024-10-21T14:09:01Z,5,6,32,Female,44,11
186,TRUE,2024-10-21T14:09:20Z,7,6,74,Female,28,10
30,TRUE,2024-10-21T14:09:45Z,7,4,100,Male,35,10
37,TRUE,2024-10-21T14:09:49Z,7,6,85,Male,36,2
21,TRUE,2024-10-21T14:10:29Z,6,5,72,Female,21,2
154,TRUE,2024-10-21T14:11:46Z,7,7,100,Female,45,6
49,TRUE,2024-10-21T14:12:11Z,6,7,21,Male,38,3
25,TRUE,2024-10-21T14:13:38Z,7,6,89,Male,44,20
40,TRUE,2024-10-21T14:13:57Z,5,5,64,Male,35,5
44,TRUE,2024-10-21T14:16:59Z,5,3,73,Male,26,0
27,TRUE,2024-10-21T14:17:19Z,5,5,68,Male,35,11
32,TRUE,2024-10-21T14:18:30Z,7,5,88,Male,35,12
66,TRUE,2024-10-21T14:18:39Z,7,6,3,Female,21,1
176,TRUE,2024-10-21T14:19:31Z,6,5,52,Male,53,4
40,TRUE,2024-10-21T14:19:33Z,6,6,60,Male,35,2
179,TRUE,2024-10-21T14:19:37Z,6,6,60,Female,32,3
27,TRUE,2024-10-21T14:20:03Z,6,3,82,Female,55,5
109,TRUE,2024-10-21T14:20:15Z,6,6,59,Female,24,10
34,TRUE,2024-10-21T14:20:21Z,7,6,73,Male,30,5
53,TRUE,2024-10-21T14:21:02Z,6,5,100,Male,19,0
35,TRUE,2024-10-21T14:21:36Z,7,6,83,Male,32,3
78,TRUE,2024-10-21T14:22:04Z,6,7,98,Male,38,10
